//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
圆形[圓形]	yuánxíng	圓/圓形 [yuán/yuánxíng](Vs/N) round; circle [CCCC1]
三角形[三角形]	sānjiǎoxíng	(N) triangle [CCCC1]
正方形[正方形]	zhèngfāngxíng	(N) square [CCCC1]
长方形[長方形]	chángfāngxíng	(N) rectangle [CCCC1]
衣服[衣服]	yīfu	(N) clothes [CCCC1]
帽子[帽子]	màozi	帽(子) [mào(zi)](N) hat [CCCC1]
帽[帽]	mào	帽(子) [mào(zi)](N) hat [CCCC1]
毛衣[毛衣]	máoyī	(N) sweater [CCCC1]
外套[外套]	wàitào	(N) coat [CCCC1]
裙子[裙子]	qúnzi	裙(子) [qún(zi)](N) skirt, petticoat [CCCC1]
裙[裙]	qún	裙(子) [qún(zi)](N) skirt, petticoat [CCCC1]
裤子[褲子]	kùzi	褲(子) [kù(zi)](N) pants [CCCC1]
裤[褲]	kù	褲(子) [kù(zi)](N) pants [CCCC1]
鞋子[鞋子]	xiézi	鞋(子) [xié(zi)](N) shoes [CCCC1]
鞋[鞋]	xié	鞋(子) [xié(zi)](N) shoes [CCCC1]
袜子[襪子]	wàzi	襪(子) [wà(zi)](N) socks [CCCC1]
袜[襪]	wà	襪(子) [wà(zi)](N) socks [CCCC1]
皮包[皮包]	píbāo	(N) leather handbag [CCCC1]
穿[穿]	chuān	(V) to wear, to put on [CCCC1]
戴[戴]	dài	(V) to wear, to put on [CCCC1]
门[門]	mén	(N) door [CCCC1]
窗[窗]	chuāng	窗/窗戶 [chuāng/chuānghu](N) window [CCCC1]
窗户[窗戶]	chuānghu	窗/窗戶 [chuāng/chuānghu](N) window [CCCC1]
衣柜[衣櫃]	yīguì	(N) closet [CCCC1]
柜子[櫃子]	guìzi	櫃(子) [guì(zi)](N) cabinet [CCCC1]
柜[櫃]	guì	櫃(子) [guì(zi)](N) cabinet [CCCC1]
床[床]	chuáng	(N) bed [CCCC1]
灯[燈]	dēng	(N) lamp [CCCC1]
桌子[桌子]	zhuōzi	桌(子) [zhuō(zi)](N) table [CCCC1]
桌[桌]	zhuō	桌(子) [zhuō(zi)](N) table [CCCC1]
椅子[椅子]	yǐzi	椅(子) [yǐ(zi)](N) chair [CCCC1]
椅[椅]	yǐ	椅(子) [yǐ(zi)](N) chair [CCCC1]
冷气[冷氣]	lěngqì	(N) air conditioner [CCCC1]
冰箱[冰箱]	bīngxiāng	(N) refrigerator [CCCC1]
棉被[棉被]	miánbèi	(N) quilt [CCCC1]
电话[電話]	diànhuà	(N) telephone [CCCC1]
电视[電視]	diànshì	(N) television, TV [CCCC1]
电脑[電腦]	diànnǎo	(N) computer [CCCC1]
洗衣机[洗衣機]	xǐyījī	(N) washing machine [CCCC1]
刀子[刀子]	dāozi	刀(子) [dāo(zi)](N) knife [CCCC1]
刀[刀]	dāo	刀(子) [dāo(zi)](N) knife [CCCC1]
叉子[叉子]	chāzi	(N) fork [CCCC1]
杯[杯]	bēi	杯(子) [bēi(zi)](N/M) cup, glass; a cup of [CCCC1]
杯子[杯子]	bēizi	杯(子) [bēi(zi)](N/M) cup, glass; a cup of [CCCC1]
筷子[筷子]	kuàizi	筷(子) [kuài(zi)](N) chopsticks [CCCC1]
筷[筷]	kuài	筷(子) [kuài(zi)](N) chopsticks [CCCC1]
碗[碗]	wǎn	(N) bowl; measure word for servings of food [CCCC1]
水壶[水壺]	shuǐhú	(N) pitcher, kettle, canteen, water bottle [CCCC1]
花瓶[花瓶]	huāpíng	(N) vase [CCCC1]
手表[手錶]	shǒubiǎo	(N) watch [CCCC1]
钟[鐘]	zhōng	(N) bell, clock [CCCC1]
伞[傘]	sǎn	傘/雨傘 [sǎn/yǔsǎn](N) umbrella [CCCC1]
雨伞[雨傘]	yǔsǎn	傘/雨傘 [sǎn/yǔsǎn](N) umbrella [CCCC1]
照片[照片]	zhàopiàn	(N) photo, picture [CCCC1]
照相机[照相機]	zhàoxiàngjī	照相機/照像機 [zhàoxiàngjī](N) camera [CCCC1]
照像机[照像機]	zhàoxiàngjī	照相機/照像機 [zhàoxiàngjī](N) camera [CCCC1]
新[新]	xīn	(Vs) new [CCCC1]
脏[髒]	zāng	(Vs) dirty [CCCC1]
破[破]	pò	(Vs) to break apart [CCCC1]
洗[洗]	xǐ	(V) to wash [CCCC1]
开[開]	kāi	開/打開 [kāi/dǎkāi](V) to open [CCCC1]
打开[打開]	dǎkāi	開/打開 [kāi/dǎkāi](V) to open [CCCC1]
起床[起床]	qǐchuáng	(V) to get up [CCCC1]
照相[照相]	zhàoxiàng	照相/照像 [zhàoxiàng](V) to take a picture, to take a photograph [CCCC1]
照像[照像]	zhàoxiàng	照相/照像 [zhàoxiàng](V) to take a picture, to take a photograph [CCCC1]
肉[肉]	ròu	(N) meat [CCCC1]
菜[菜]	cài	(N) dish; vegetable [CCCC1]
蛋[蛋]	dàn	(N) egg [CCCC1]
面[麵]	miàn	(N) noodles [CCCC1]
米饭[米飯]	mǐfàn	(米)飯 [(mǐ) fàn](N) rice [CCCC1]
饭[飯]	fàn	(米)飯 [(mǐ) fàn](N) rice [CCCC1]
饺子[餃子]	jiǎozi	餃(子) [jiǎo(zi)](N) dumplings [CCCC1]
饺[餃]	jiǎo	餃(子) [jiǎo(zi)](N) dumplings [CCCC1]
汤[湯]	tāng	(N) soup [CCCC1]
汉堡[漢堡]	hànbǎo	(N) hamburger [CCCC1]
热狗[熱狗]	règǒu	(N) hot dog [CCCC1]
饼干[餅乾]	bǐnggān	(N) biscuit, cracker, cookie [CCCC1]
蛋糕[蛋糕]	dàngāo	(N) cake [CCCC1]
面包[麵包]	miànbāo	(N) bread [CCCC1]
三明治[三明治]	sānmíngzhì	(N) sandwich [CCCC1]
冰淇淋[冰淇淋]	bīngqílín	(N) ice cream [CCCC1]
餐[餐]	cān	(N) meal [CCCC1]
饮料[飲料]	yǐnliào	(N) drink, beverage [CCCC1]
茶[茶]	chá	(N) tea [CCCC1]
牛奶[牛奶]	niúnǎi	(N) milk [CCCC1]
可乐[可樂]	kělè	(N) coke [CCCC1]
汽水[汽水]	qìshuǐ	(N) soft drink [CCCC1]
果汁[果汁]	guǒzhī	(N) juice [CCCC1]
水果[水果]	shuǐguǒ	(N) fruit [CCCC1]
橘子[橘子]	júzi	橘(子) [jú(zi)](N) tangerine [CCCC1]
橘[橘]	jú	橘(子) [jú(zi)](N) tangerine [CCCC1]
西瓜[西瓜]	xīguā	(N) watermelon [CCCC1]
柳橙[柳橙]	liǔchéng	(N) orange [CCCC1]
香蕉[香蕉]	xiāngjiāo	(N) banana [CCCC1]
草莓[草莓]	cǎoméi	(N) strawberry [CCCC1]
番茄[番茄]	fānqié	番茄/蕃茄 [fānqié](N) tomato [CCCC1]
蕃茄[蕃茄]	fānqié	番茄/蕃茄 [fānqié](N) tomato [CCCC1]
苹果[蘋果]	píngguǒ	(N) apple [CCCC1]
糖[糖]	táng	(N) sugar, candy [CCCC1]
甜[甜]	tián	(Vs) sweet [CCCC1]
饿[餓]	è	(Vs) hungry [CCCC1]
吃[吃]	chī	(V) to eat [CCCC1]
喝[喝]	hē	(V) to drink [CCCC1]
给[給]	gěi	(V) to give [CCCC1]
同学[同學]	tóngxué	(N) classmate [CCCC1]
上课[上課]	shàngkè	(V) to go to class [CCCC1]
下课[下課]	xiàkè	(V) to dismiss [CCCC1]
上学[上學]	shàngxué	(V) to go to school [CCCC1]
放假[放假]	fàngjià	(V) to have day off [CCCC1]
放学[放學]	fàngxué	(V) to finish classes (for the day) [CCCC1]
游戏[遊戲]	yóuxì	(N) game [CCCC1]
图[圖]	tú	(N) picture, drawing [CCCC1]
字[字]	zì	(N) character, word [CCCC1]
书[書]	shū	(N) book [CCCC1]
书包[書包]	shūbāo	(N) schoolbag [CCCC1]
课[課]	kè	(N) course, class [CCCC1]
课本[課本]	kèběn	(N) textbook [CCCC1]
作业[作業]	zuòyè	(N) homework [CCCC1]
问题[問題]	wèntí	(N) question, problem [CCCC1]
考试[考試]	kǎoshì	(N/V) (to) exam, (to) test [CCCC1]
写[寫]	xiě	(V) to write [CCCC1]
学[學]	xué	(V) to study, to learn [CCCC1]
读[讀]	dú	(V) to read [CCCC1]
念[念]	niàn	(V) to read out loud [CCCC1]
黑板[黑板]	hēibǎn	(N) blackboard [CCCC1]
文具[文具]	wénjù	(N) stationery [CCCC1]
纸[紙]	zhǐ	(N) paper [CCCC1]
笔[筆]	bǐ	(N) pen [CCCC1]
铅笔[鉛筆]	qiānbǐ	(N) pencil [CCCC1]
彩色笔[彩色筆]	cǎisèbǐ	(N) color pen [CCCC1]
