//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
拜年[拜年]	bàinián	(V) to pay a New Year call [CCCC2]
红包[紅包]	hóngbāo	(N) red envelope with gift money [CCCC2]
压岁钱[壓歲錢]	yāsuìqián	(N) money given to children as a lunar New Year gift [CCCC2]
节[節]	jié	(N) festival [CCCC2]
端午节[端午節]	duānwǔjié	(N) the Dragon Boat Festival (falling on the fifth day of the fifth lunar month) [CCCC2]
中秋节[中秋節]	zhōngqiūjié	(N) the Moon Festival or the Mid-Autumn Festival(on the 15th day of the 8th lunar month) [CCCC2]
圣诞节[聖誕節]	shèngdànjié	(N) Christmas [CCCC2]
健康[健康]	jiànkāng	(Vs/N) healthy, health [CCCC2]
咳嗽[咳嗽]	késòu	咳嗽 [késòu/késou](V) to cough [CCCC2]
咳嗽[咳嗽]	késou	咳嗽 [késòu/késou](V) to cough [CCCC2]
发烧[發燒]	fāshāo	(V) to have a fever [CCCC2]
口罩[口罩]	kǒuzhào	(N) a gauze mask [CCCC2]
蛀牙[蛀牙]	zhùyá	(V/N) decayed tooth, dental caries [CCCC2]
跌倒[跌倒]	diédǎo	(V) to fall over [CCCC2]
住院[住院]	zhùyuàn	(V) to be in hospital [CCCC2]
受伤[受傷]	shòushāng	(Vs/N) be injured/wounded; injury, wound [CCCC2]
小心[小心]	xiǎoxīn	(Vs) careful [CCCC2]
卡车[卡車]	kǎchē	(N) truck [CCCC2]
计程车[計程車]	jìchéngchē	(N) taxi [CCCC2]
消防车[消防車]	xiāofángchē	(N) fire truck [CCCC2]
救护车[救護車]	jiùhùchē	(N) ambulance [CCCC2]
摩托车[摩托車]	mótuōchē	(N) motorcycle, scooter [CCCC2]
票[票]	piào	(N) ticket [CCCC2]
开车[開車]	kāichē	(V) to drive a car [CCCC2]
停[停]	tíng	(V) to park, to stop [CCCC2]
迷路[迷路]	mílù	(V) to get lost [CCCC2]
搭[搭]	dā	(V) to travel by or take (a conveyance) [CCCC2]
危险[危險]	wéixiǎn	(Vs) dangerous [CCCC2]
安全[安全]	ānquán	(Vs) safe [CCCC2]
雷[雷]	léi	(N) thunder [CCCC2]
电[電]	diàn	(N) electricity [CCCC2]
声音[聲音]	shēngyīn	(N) sound, voice [CCCC2]
闪电[閃電]	shǎndiàn	(N/V) lightning [CCCC2]
彩虹[彩虹]	cǎihóng	(N) rainbow [CCCC2]
季节[季節]	jìjié	(N) season [CCCC2]
凉[涼]	liáng	涼/涼快 [liáng/liángkuài](Vs) cool [CCCC2]
凉快[涼快]	liángkuài	涼/涼快 [liáng/liángkuài](Vs) cool [CCCC2]
寒冷[寒冷]	hánlěng	(Vs) cold [CCCC2]
温暖[溫暖]	wēnnuǎn	(Vs) warm [CCCC2]
干[乾]	gān	(Vs) dry [CCCC2]
玫瑰[玫瑰]	méigui	(N) rose [CCCC2]
狮子[獅子]	shīzi	獅(子) [shī(zi)](N) lion [CCCC2]
狮[獅]	shī	獅(子) [shī(zi)](N) lion [CCCC2]
狼[狼]	láng	(N) wolf [CCCC2]
象[象]	xiàng	(N) elephant [CCCC2]
青蛙[青蛙]	qīngwā	(N) frog [CCCC2]
蛇[蛇]	shé	(N) snake [CCCC2]
虫[蟲]	chóng	(N) worm, insect [CCCC2]
蚊子[蚊子]	wénzi	蚊(子) [wén(zi)](N) mosquito [CCCC2]
蚊[蚊]	wén	蚊(子) [wén(zi)](N) mosquito [CCCC2]
蜘蛛[蜘蛛]	zhīzhū	(N) spider [CCCC2]
蝴蝶[蝴蝶]	húdié	(N) butterfly [CCCC2]
蜜蜂[蜜蜂]	mìfēng	(N) bee [CCCC2]
蚂蚁[螞蟻]	mǎyǐ	(N) ant [CCCC2]
蜗牛[蝸牛]	wōniú	(N) snail [CCCC2]
鹅[鵝]	é	(N) goose [CCCC2]
宠物[寵物]	chǒngwù	(N) pet [CCCC2]
石[石]	shí	石/石頭 [shí/shítou](N) stone, rock [CCCC2]
石头[石頭]	shítou	石/石頭 [shí/shítou](N) stone, rock [CCCC2]
沙[沙]	shā	(N) sand [CCCC2]
河[河]	hé	(N) river [CCCC2]
森林[森林]	sēnlín	(N) forest [CCCC2]
池塘[池塘]	chítáng	(N) pond [CCCC2]
北边[北邊]	běibiān	(N) north [CCCC2]
西边[西邊]	xībiān	(N) west [CCCC2]
东边[東邊]	dōngbiān	(N) east [CCCC2]
南边[南邊]	nánbiān	(N) south [CCCC2]
右边[右邊]	yòubiān	右邊/右手邊 [yòubiān/yòushǒubiān](N) right side [CCCC2]
右手边[右手邊]	yòushǒubiān	右邊/右手邊 [yòubiān/yòushǒubiān](N) right side [CCCC2]
左边[左邊]	zuǒbiān	左邊/左手邊 [zuǒbiān/zuǒshǒubiān](N) left side [CCCC2]
左手边[左手邊]	zuǒshǒubiān	左邊/左手邊 [zuǒbiān/zuǒshǒubiān](N) left side [CCCC2]
旁边[旁邊]	pángbiān	旁(邊) [páng(biān)](N) by the side of [CCCC2]
旁[旁]	páng	旁(邊) [páng(biān)](N) by the side of [CCCC2]
往[往]	wǎng	(Prep) toward [CCCC2]
从[從]	cóng	(Prep) from, since, through [CCCC2]
近[近]	jìn	(Vs) close, near [CCCC2]
远[遠]	yuǎn	(Vs) far [CCCC2]
对面[對面]	duìmiàn	(N) across [CCCC2]
地方[地方]	dìfāng	地方 [dìfāng/dìfang](N) place [CCCC2]
地方[地方]	dìfang	地方 [dìfāng/dìfang](N) place [CCCC2]
客厅[客廳]	kètīng	(N) living room [CCCC2]
浴室[浴室]	yùshì	(N) bathroom [CCCC2]
院子[院子]	yuànzi	(N) courtyard [CCCC2]
厕所[廁所]	cèsuǒ	(N) toilet [CCCC2]
饭厅[飯廳]	fàntīng	(N) dining room [CCCC2]
厨房[廚房]	chúfáng	(N) kitchen [CCCC2]
教室[教室]	jiàoshì	(N) classroom [CCCC2]
操场[操場]	cāochǎng	(N) playground [CCCC2]
游泳池[游泳池]	yóuyǒngchí	(N) swimming pool [CCCC2]
夜市[夜市]	yèshì	(N) night market [CCCC2]
教堂[教堂]	jiàotáng	(N) church [CCCC2]
邮局[郵局]	yóujú	(N) post office [CCCC2]
银行[銀行]	yínháng	(N) bank [CCCC2]
警察局[警察局]	jǐngchájú	(N) police office [CCCC2]
电影院[電影院]	diànyǐngyuàn	(N) movie theater [CCCC2]
办公室[辦公室]	bàngōngshì	(N) office [CCCC2]
饭店[飯店]	fàndiàn	飯店/酒店 [fàndiàn/jiǔdiàn](N) hotel [CCCC2]
酒店[酒店]	jiǔdiàn	飯店/酒店 [fàndiàn/jiǔdiàn](N) hotel [CCCC2]
公寓[公寓]	gōngyù	(N) apartment [CCCC2]
大楼[大樓]	dàlóu	(N) multi-storied building [CCCC2]
电梯[電梯]	diàntī	(N) elevator [CCCC2]
楼梯[樓梯]	lóutī	(N) stairs [CCCC2]
屋子[屋子]	wūzi	屋(子) [wū(zi)](N) house [CCCC2]
屋[屋]	wū	屋(子) [wū(zi)](N) house [CCCC2]
农田[農田]	nóngtián	(N) farm [CCCC2]
街[街]	jiē	(N) street [CCCC2]
马路[馬路]	mǎlù	馬路/道路 [mǎlù/dàolù](N) road [CCCC2]
道路[道路]	dàolù	馬路/道路 [mǎlù/dàolù](N) road [CCCC2]
高速公路[高速公路]	gāosùgōnglù	(N) freeway, highway [CCCC2]
热闹[熱鬧]	rènao	(Vs) boisterous, bustling [CCCC2]
泰国[泰國]	tàiguó	(N) Thailand [CCCC2]
韩国[韓國]	hánguó	(N) Korea [CCCC2]
日本[日本]	rìběn	(N) Japan [CCCC2]
早安[早安]	zǎo'ān	(V) Good morning. [CCCC2]
晚安[晚安]	wǎn'ān	(V) Good night. [CCCC2]
欢迎[歡迎]	huānyíng	(V) to welcome, to greet [CCCC2]
没问题[沒問題]	méiwèntí	(V) No problem. [CCCC2]
差不多[差不多]	chàbuduō	(V) almost the same [CCCC2]
不好意思[不好意思]	bùhǎoyìsi	(V) to feel embarrassed [CCCC2]
祝福[祝福]	zhùfú	(V/N) to bless, to wish [CCCC2]
进步[進步]	jìnbù	(N/V) to improve, improvement [CCCC2]
成功[成功]	chénggōng	(N/V) success, to succeed [CCCC2]
错[錯]	cuò	(Vs) wrong [CCCC2]
能[能]	néng	(V) can [CCCC2]
行[行]	xíng	(V) okay [CCCC2]
可能[可能]	kěnéng	(Adv) maybe, perhaps [CCCC2]
当然[當然]	dāngrán	(Adv) certainly, of course [CCCC2]
一定[一定]	yīdìng	(Adv) definitely [CCCC2]
还是[還是]	háishì	(Conj) or; still [CCCC2]
所以[所以]	suǒyǐ	(Conj) so [CCCC2]
如果[如果]	rúguǒ	(Conj) if [CCCC2]
但是[但是]	dànshì	(Conj) but [CCCC2]
得[得]	de	得 [de/dé](Ptc/V) particle(de): verbs which are marked by de are followed by complements to show the resultive state of the action; Verb(dé): to get; Verb(děi):must, have to [CCCC2]
得[得]	dé	得 [de/dé](Ptc/V) particle(de): verbs which are marked by de are followed by complements to show the resultive state of the action; Verb(dé): to get; Verb(děi):must, have to [CCCC2]
//CCCC 2022/Level 3 (A2)
它[它]	tā	(N) it [CCCC3]
自己[自己]	zìjǐ	(N) oneself [CCCC3]
介绍[介紹]	jièshào	(V/N) to introduce, introduction [CCCC3]
儿童[兒童]	értóng	(N) children [CCCC3]
兄弟姊妹[兄弟姊妹]	xiōngdìjiěmèi	(N) siblings [CCCC3]
叔叔[叔叔]	shúshu	叔(叔) [shú(shu)](N) uncle [CCCC3]
叔[叔]	shú	叔(叔) [shú(shu)](N) uncle [CCCC3]
孙子[孫子]	sūnzi	孫子/孫女 [sūnzi/sūnnǚ](N) grandson; granddaughter [CCCC3]
孙女[孫女]	sūnnǚ	孫子/孫女 [sūnzi/sūnnǚ](N) grandson; granddaughter [CCCC3]
邻居[鄰居]	línjū	(N) neighbor [CCCC3]
照顾[照顧]	zhàogù	(V) to look after [CCCC3]
办法[辦法]	bànfǎ	(N) way, means, measure, regulation [CCCC3]
方法[方法]	fāngfǎ	(N) method, way, means [CCCC3]
习惯[習慣]	xíguàn	(N/V) habit; to be used to [CCCC3]
幸福[幸福]	xìngfú	(N) happiness [CCCC3]
眉[眉]	méi	(N) eyebrow [CCCC3]
胡子[鬍子]	húzi	鬍(子) [hú(zi)](N) beard [CCCC3]
胡[鬍]	hú	鬍(子) [hú(zi)](N) beard [CCCC3]
手臂[手臂]	shǒubì	(N) arm [CCCC3]
肩膀[肩膀]	jiānbǎng	(N) shoulder [CCCC3]
脖子[脖子]	bózi	脖(子) [bó(zi)](N) neck [CCCC3]
脖[脖]	bó	脖(子) [bó(zi)](N) neck [CCCC3]
皮肤[皮膚]	pífū	(N) skin [CCCC3]
眼泪[眼淚]	yǎnlèi	(N) tears [CCCC3]
死[死]	sǐ	(Vs) to die [CCCC3]
靠[靠]	kào	(V) to lean against; to depend on [CCCC3]
陪[陪]	péi	(V) to accompany [CCCC3]
醒[醒]	xǐng	(Vs) awake [CCCC3]
抱[抱]	bào	(V) to hug [CCCC3]
按[按]	àn	(V) to press [CCCC3]
捉[捉]	zhuō	(V) to catch [CCCC3]
换[換]	huàn	(V) to exchange [CCCC3]
擦[擦]	cā	(V) to wipe [CCCC3]
偷[偷]	tōu	(V) to steal [CCCC3]
丢[丟]	diū	(V) to throw; to lose something [CCCC3]
掉[掉]	diào	(V) to drop [CCCC3]
见[見]	jiàn	(V) to see; to meet [CCCC3]
闻[聞]	wén	(V) to smell [CCCC3]
咬[咬]	yǎo	(V) to bite [CCCC3]
讲话[講話]	jiǎnghuà	講(話) [jiǎng(huà)](V) to talk [CCCC3]
讲[講]	jiǎng	講(話) [jiǎng(huà)](V) to talk [CCCC3]
告诉[告訴]	gàosu	(V) to tell [CCCC3]
亲[親]	qīn	(V) to kiss [CCCC3]
听说[聽說]	tīngshuō	(V) to hear [CCCC3]
尝[嚐]	cháng	(V) to taste [CCCC3]
吵[吵]	chǎo	(Vs) noisy [CCCC3]
猜[猜]	cāi	(V) to guess [CCCC3]
烦恼[煩惱]	fánnǎo	(N/V) (to) worry [CCCC3]
麻烦[麻煩]	máfan	(N/V) (to) trouble [CCCC3]
无聊[無聊]	wúliáo	(Vs) boring, bored [CCCC3]
愉快[愉快]	yúkuài	(Vs) delightful [CCCC3]
决定[決定]	juédìng	(V/N) to decide, decision [CCCC3]
相信[相信]	xiāngxìn	(V) to believe [CCCC3]
发现[發現]	fāxiàn	(V) to discover [CCCC3]
希望[希望]	xīwàng	(V) to hope [CCCC3]
记得[記得]	jìde	(V) to remember [CCCC3]
感觉[感覺]	gǎnjué	(N/Vs) feeling, to feel [CCCC3]
了解[了解]	liǎojiě	(V) to understand [CCCC3]
以为[以為]	yǐwéi	(Vs) to think, to consider [CCCC3]
认识[認識]	rènshì	(Vs) to know [CCCC3]
着急[著急]	zhāojí	(Vs) anxious [CCCC3]
伤心[傷心]	shāngxīn	(Vs) heart-broken [CCCC3]
担心[擔心]	dānxīn	(Vs) worried [CCCC3]
舒服[舒服]	shūfu	(Vs) comfortable [CCCC3]
壮[壯]	zhuàng	(Vs) strong [CCCC3]
肥[肥]	féi	(Vs) fat [CCCC3]
懒[懶]	lǎn	(Vs) lazy [CCCC3]
丑[醜]	chǒu	(Vs) ugly [CCCC3]
活泼[活潑]	huópō	(Vs) vivacious [CCCC3]
认真[認真]	rènzhēn	(Vs) serious, earnest [CCCC3]
可怜[可憐]	kělián	(Vs) pitiful, poor [CCCC3]
幸运[幸運]	xìngyùn	(Vs) lucky [CCCC3]
商人[商人]	shāngrén	(N) merchant [CCCC3]
作家[作家]	zuòjiā	(N) writer [CCCC3]
记者[記者]	jìzhě	(N) reporter [CCCC3]
演员[演員]	yǎnyuán	(N) actor [CCCC3]
机会[機會]	jīhuì	(N) chance [CCCC3]
做事[做事]	zuòshì	(V) to work [CCCC3]
成为[成為]	chéngwéi	(Vs) to become [CCCC3]
辛苦[辛苦]	xīnkǔ	(Vs) to work hard [CCCC3]
梦想[夢想]	mèngxiǎng	(N) dream [CCCC3]
各[各]	gè	(Det) each [CCCC3]
群[群]	qún	(M) collective measure word for a number of people gathering together, for animals of the same kind, and for lots of close islands [CCCC3]
封[封]	fēng	(M) measure word for letters, telegrams, etc. [CCCC3]
度[度]	dù	(M) measure word for temperature [CCCC3]
段[段]	duàn	(M) measure word for a part of something, for example part of an essay, part of a journey, etc., and for part of some time period. [CCCC3]
盆[盆]	pén	(M) container measure word for the things in a basin. [CCCC3]
顶[頂]	dǐng	(M) individual measure word for things that have a cap, cover, etc. [CCCC3]
幅[幅]	fú	(M) individual measure word for calligraphy, painting, etc. [CCCC3]
遍[遍]	biàn	(M) measure word for the course of an action from the beginning to the end. [CCCC3]
篇[篇]	piān	(M) measure word for writings, etc. [CCCC3]
辆[輛]	liàng	(M) measure word for any conveyance, etc. [CCCC3]
双[雙]	shuāng	(M) measure word for two things of the same kind to be used together. [CCCC3]
根[根]	gēn	(M) individual measure word for long things and for soft and slender things, such as a banana, a lock of hair, etc. [CCCC3]
万[萬]	wàn	(Num) ten thousand [CCCC3]
号码[號碼]	hàomǎ	(N) number [CCCC3]
数字[數字]	shùzì	(N) numeral [CCCC3]
任何[任何]	rènhé	(Det) any [CCCC3]
其他[其他]	qítā	(Det) other [CCCC3]
所有[所有]	suǒyǒu	(Det) all [CCCC3]
许多[許多]	xǔduō	(Det) many, a lot of [CCCC3]
有点儿[有點兒]	yǒudiǎnr	(Adv) a little [CCCC3]
穷[窮]	qióng	(Vs) poor [CCCC3]
零用钱[零用錢]	língyòngqián	(N) allowance [CCCC3]
够[夠]	gòu	(Adv) enough [CCCC3]
不错[不錯]	búcuò	(Vs) not bad [CCCC3]
弱[弱]	ruò	(Vs) weak [CCCC3]
强[強]	qiáng	(Vs) strong [CCCC3]
淡[淡]	dàn	(Vs) thin [CCCC3]
浓[濃]	nóng	(Vs) thick [CCCC3]
一模一样[一模一樣]	yīmóyīyàng	exactly the same [CCCC3]
重要[重要]	zhòngyào	(Vs) important [CCCC3]
特别[特別]	tèbié	(Vs) special [CCCC3]
日期[日期]	rìqí	(N) date [CCCC3]
时间[時間]	shíjiān	(N) time [CCCC3]
傍晚[傍晚]	bāngwǎn	(N/Adv) evening [CCCC3]
半夜[半夜]	bànyè	(N/Adv) midnight [CCCC3]
有时[有時]	yǒushí	有時/有時候 [yǒushí/yǒushíhòu/yǒushíhou](Adv) sometimes [CCCC3]
有时候[有時候]	yǒushíhòu	有時/有時候 [yǒushí/yǒushíhòu/yǒushíhou](Adv) sometimes [CCCC3]
有时候[有時候]	yǒushíhou	有時/有時候 [yǒushí/yǒushíhòu/yǒushíhou](Adv) sometimes [CCCC3]
刚才[剛才]	gāngcái	(Adv) just [CCCC3]
马上[馬上]	mǎshàng	(Adv) immediately [CCCC3]
经常[經常]	jīngcháng	(Adv) often [CCCC3]
总是[總是]	zǒngshì	(Adv) always [CCCC3]
从不[從不]	cóngbù	(Adv) never [CCCC3]
当[當]	dāng	(Conj) when [CCCC3]
久[久]	jiǔ	(Vs) for a long time [CCCC3]
已经[已經]	yǐjīng	(Adv) already [CCCC3]
永远[永遠]	yǒngyuǎn	(Adv) forever [CCCC3]
过去[過去]	guòqù	(Adv) past [CCCC3]
最后[最後]	zuìhòu	(Adv) last [CCCC3]
赶[趕]	gǎn	(Vs) to rush [CCCC3]
赶快[趕快]	gǎnkuài	(Adv) hurry [CCCC3]
金色[金色]	jīnsè	(N) gold [CCCC3]
银色[銀色]	yínsè	(N) silver [CCCC3]
低[低]	dī	(Vs) low [CCCC3]
直[直]	zhí	(Vs) straight [CCCC3]
扁[扁]	biǎn	(Vs) flat [CCCC3]
弯[彎]	wān	(Vs) curved; to bend [CCCC3]
卷[捲]	juǎn	(Vs) curl [CCCC3]
服装[服裝]	fúzhuāng	(N) costume [CCCC3]
西装[西裝]	xīzhuāng	(N) suit [CCCC3]
衬衫[襯衫]	chènshān	(N) shirt [CCCC3]
领带[領帶]	lǐngdài	(N) tie [CCCC3]
皮带[皮帶]	pídài	(N) belt [CCCC3]
制服[制服]	zhìfú	(N) uniform [CCCC3]
牛仔裤[牛仔褲]	niúzǎikù	(N) jeans [CCCC3]
戒指[戒指]	jièzhǐ	(N) ring [CCCC3]
耳环[耳環]	ěrhuán	(N) ear ring [CCCC3]
项链[項鍊]	xiàngliàn	(N) necklace [CCCC3]
针[針]	zhēn	(N) needle [CCCC3]
线[線]	xiàn	(N) thread [CCCC3]
背包[背包]	bēibāo	(N) backpack [CCCC3]
打扮[打扮]	dǎbàn	打扮 [dǎbàn/dǎban](V) to dress up, to make up [CCCC3]
打扮[打扮]	dǎban	打扮 [dǎbàn/dǎban](V) to dress up, to make up [CCCC3]
流行[流行]	liúxíng	(Vs) fashionable, widespread [CCCC3]
生活[生活]	shēnghuó	(N) life [CCCC3]
响[響]	xiǎng	(Vs) to make a sound [CCCC3]
地板[地板]	dìbǎn	(N) floor [CCCC3]
工具[工具]	gōngjù	(N) tool [CCCC3]
布[布]	bù	(N) cloth [CCCC3]
梳子[梳子]	shūzi	(N) comb [CCCC3]
玻璃[玻璃]	bōli	(N) glass [CCCC3]
浴缸[浴缸]	yùgāng	(N) tub [CCCC3]
卫生纸[衛生紙]	wèishēngzhǐ	(N) toilet paper [CCCC3]
电风扇[電風扇]	diànfēngshàn	(N) fan [CCCC3]
钥匙[鑰匙]	yàoshi	(N) key [CCCC3]
收音机[收音機]	shōuyīnjī	(N) radio [CCCC3]
随身听[隨身聽]	suíshēntīng	(N) a type of small cassette or cd player with headphones that you can carry with you [CCCC3]
广播[廣播]	guǎngbò	廣播 [guǎngbò/guǎngbō](N/V) (to) broadcast [CCCC3]
广播[廣播]	guǎngbō	廣播 [guǎngbò/guǎngbō](N/V) (to) broadcast [CCCC3]
新闻[新聞]	xīnwén	(N) news [CCCC3]
节目[節目]	jiémù	(N) show [CCCC3]
消息[消息]	xiāoxi	(N) news [CCCC3]
网站[網站]	wǎngzhàn	(N) website [CCCC3]
电子邮件[電子郵件]	diànzǐyóujiàn	(N) e-mail [CCCC3]
萤幕[螢幕]	yíngmù	(N) screen [CCCC3]
杂志[雜誌]	zázhì	(N) magazine [CCCC3]
留言[留言]	liúyán	(N/V) message, to leave a message [CCCC3]
整齐[整齊]	zhěngqí	(Vs) tidy [CCCC3]
乱七八糟[亂七八糟]	luànqībāzāo	(Vs) messy [CCCC3]
馒头[饅頭]	mántou	(N) steamed bun [CCCC3]
泡面[泡麵]	pàomiàn	(N) instant noodles [CCCC3]
火锅[火鍋]	huǒguō	(N) hotpot [CCCC3]
豆腐[豆腐]	dòufu	(N) tofu [CCCC3]
香肠[香腸]	xiāngcháng	(N) sausage [CCCC3]
蔬菜[蔬菜]	shūcài	(N) vegetable [CCCC3]
萝卜[蘿蔔]	luóbo	(N) carrot [CCCC3]
马铃薯[馬鈴薯]	mǎlíngshǔ	(N) potato [CCCC3]
果酱[果醬]	guǒjiàng	(N) jam [CCCC3]
蜂蜜[蜂蜜]	fēngmì	(N) honey [CCCC3]
糖果[糖果]	tángguǒ	(N) candy [CCCC3]
野餐[野餐]	yěcān	(N/V) (to) picnic [CCCC3]
胡椒粉[胡椒粉]	hújiāofěn	(N) pepper [CCCC3]
酒[酒]	jiǔ	(N) wine [CCCC3]
凤梨[鳳梨]	fènglí	(N) pineapple [CCCC3]
柠檬[檸檬]	níngméng	(N) lemon [CCCC3]
椰子[椰子]	yézi	椰(子) [yé(zi)](N) coconut [CCCC3]
椰[椰]	yé	椰(子) [yé(zi)](N) coconut [CCCC3]
梨子[梨子]	lízi	梨(子) [lí(zi)](N) pear [CCCC3]
梨[梨]	lí	梨(子) [lí(zi)](N) pear [CCCC3]
味道[味道]	wèidao	(N) taste [CCCC3]
咸[鹹]	xián	(Vs) salty [CCCC3]
盐[鹽]	yán	(N) salt [CCCC3]
辣[辣]	là	(Vs) spicy [CCCC3]
酸[酸]	suān	(Vs) sour [CCCC3]
煮[煮]	zhǔ	(V) to cook [CCCC3]
煎[煎]	jiān	(V) to fry [CCCC3]
新鲜[新鮮]	xīnxian	(Vs) fresh [CCCC3]
毕业[畢業]	bìyè	(V) to graduate [CCCC3]
讨论[討論]	tǎolùn	(V) to discuss [CCCC3]
迟到[遲到]	chídào	(Vs) late [CCCC3]
安静[安靜]	ānjìng	(Vs) quiet [CCCC3]
吵架[吵架]	chǎojià	(V) to argue [CCCC3]
夏令营[夏令營]	xiàlìngyíng	(N) summer camp [CCCC3]
举行[舉行]	jǔxíng	(V) to hold [CCCC3]
活动[活動]	huódòng	(N) activity [CCCC3]
书法[書法]	shūfǎ	(N) chinese calligraphy [CCCC3]
兴趣[興趣]	xìngqù	(N) interest, hobby [CCCC3]
文章[文章]	wénzhāng	(N) article, essay [CCCC3]
日记[日記]	rìjì	(N) diary [CCCC3]
字典[字典]	zìdiǎn	(N) dictionary [CCCC3]
历史[歷史]	lìshǐ	(N) history [CCCC3]
地理[地理]	dìlǐ	(N) geography [CCCC3]
戏剧[戲劇]	xìjù	(N) drama [CCCC3]
回答[回答]	huídá	(V/N) to answer [CCCC3]
答案[答案]	dá'àn	(N) answer [CCCC3]
通知[通知]	tōngzhī	(V/N) to inform [CCCC3]
复习[複習]	fùxí	(V) to review [CCCC3]
学习[學習]	xuéxí	(V) to learn [CCCC3]
选择[選擇]	xuǎnzé	(V/N) to choose; choice [CCCC3]
借[借]	jiè	(V) to borrow [CCCC3]
替[替]	tì	(V) on behalf of [CCCC3]
试[試]	shì	(V) to try [CCCC3]
输[輸]	shū	(V) to lose [CCCC3]
赢[贏]	yíng	(V) to win [CCCC3]
毛笔[毛筆]	máobǐ	(N) writing brush [CCCC3]
水彩[水彩]	shuǐcǎi	(N) watercolor [CCCC3]
堆[堆]	duī	(V/M) (to) stack, (to) pile; collective measure word for a mass of things in piles [CCCC3]
积木[積木]	jīmù	(N) brick [CCCC3]
划船[划船]	huáchuán	(V) to row a boat [CCCC3]
溜冰[溜冰]	liūbīng	(V) to skate [CCCC3]
跳绳[跳繩]	tiàoshéng	(V/N) rope-skipping [CCCC3]
钓鱼[釣魚]	diàoyú	(V/N) fishing [CCCC3]
旅游[旅遊]	lǚyóu	(V/N) to travel [CCCC3]
参观[參觀]	cānguān	(V) to visit [CCCC3]
露营[露營]	lùyíng	(V/N) camping [CCCC3]
聊天[聊天]	liáotiān	(V) to chat [CCCC3]
电动玩具[電動玩具]	diàndòngwánjù	電動玩具/電玩 [diàndòngwánjù/diànwán](N) video game [CCCC3]
电玩[電玩]	diànwán	電動玩具/電玩 [diàndòngwánjù/diànwán](N) video game [CCCC3]
风筝[風箏]	fēngzhēng	(N) kite [CCCC3]
计划[計畫]	jìhuà	(V/N) (to) plan [CCCC3]
打算[打算]	dǎsuàn	(V) to plan, to intend [CCCC3]
网路[網路]	wǎnglù	(N) internet [CCCC3]
油画[油畫]	yóuhuà	(N) oil painting [CCCC3]
影片[影片]	yǐngpiàn	(N) film [CCCC3]
小说[小說]	xiǎoshuō	(N) novel [CCCC3]
乐器[樂器]	yuèqì	(N) musical instruments [CCCC3]
喇叭[喇叭]	lǎba	(N) trumpet [CCCC3]
笛子[笛子]	dízi	笛(子) [dí(zi)](N) flute [CCCC3]
笛[笛]	dí	笛(子) [dí(zi)](N) flute [CCCC3]
合唱团[合唱團]	héchàngtuán	(N) chorus, choir [CCCC3]
捉迷藏[捉迷藏]	zhuōmícáng	(N) hide-and-seek [CCCC3]
躲[躲]	duǒ	(V) to hide [CCCC3]
表演[表演]	biǎoyǎn	(N/V) performance, to perform [CCCC3]
结婚[結婚]	jiéhūn	(V) to marry [CCCC3]
庆祝[慶祝]	qìngzhù	(N/V) to celebrate [CCCC3]
纪念[紀念]	jìniàn	(V) to remember, to commemorate [CCCC3]
血[血]	xiě	(N) blood [CCCC3]
痒[癢]	yǎng	(Vs) itchy [CCCC3]
注意[注意]	zhùyì	(V) to notice; to watch out [CCCC3]
传染[傳染]	chuánrǎn	(V) to be contagious, to infect [CCCC3]
昏倒[昏倒]	hūndǎo	(Vs) to faint [CCCC3]
近视[近視]	jìnshì	(N/Vs) nearsighted [CCCC3]
转[轉]	zhuǎn	(V) to turn [CCCC3]
遇[遇]	yù	(V) to encounter, to come across [CCCC3]
出发[出發]	chūfā	(V) to set off, to depart [CCCC3]
发生[發生]	fāshēng	(V) to happen [CCCC3]
离开[離開]	líkāi	(V) to leave [CCCC3]
车祸[車禍]	chēhuò	(N) car accident [CCCC3]
地铁[地鐵]	dìtiě	(N) subway, underground [CCCC3]
安全带[安全帶]	ānquándài	(N) seat belt [CCCC3]
红绿灯[紅綠燈]	hónglǜdēng	(N) traffic light [CCCC3]
方便[方便]	fāngbiàn	(Vs) convenient [CCCC3]
雾[霧]	wù	(N) fog [CCCC3]
刮[刮]	guā	(V) to blow (wind) [CCCC3]
台风[颱風]	táifēng	(N) typhoon [CCCC3]
空气[空氣]	kōngqì	(N) air [CCCC3]
光[光]	guāng	(N) light [CCCC3]
地震[地震]	dìzhèn	(N) earthquake [CCCC3]
灾[災]	zāi	災(火災,水災) [zāi(huǒzāi, shuǐzāi)](N) disaster [CCCC3]
火灾[火災]	huǒzāi	災(火災,水災) [zāi(huǒzāi, shuǐzāi)](N) disaster [CCCC3]
水灾[水災]	shuǐzāi	災(火災,水災) [zāi(huǒzāi, shuǐzāi)](N) disaster [CCCC3]
变[變]	biàn	(V) to become, to turn into [CCCC3]
温度[溫度]	wēndù	(N) temperature [CCCC3]
湿[濕]	shī	(Vs) humid; wet [CCCC3]
晴朗[晴朗]	qínglǎng	(Vs) sunny [CCCC3]
植物[植物]	zhíwù	(N) plant [CCCC3]
它[牠]	tā	(N) it [CCCC3]
熊[熊]	xióng	(N) bear [CCCC3]
