char,level,tgh_index,pinyin
灼,1,853,zhuó
弟,1,854,dì
汪,1,855,wāng
沐,1,856,mù
沛,1,857,pèi
汰,1,858,tài
沥,1,859,lì
沙,1,860,shā shà
汽,1,861,qì
沃,1,862,wò
沦,1,863,lún
汹,1,864,xiōng
泛,1,865,fàn
沧,1,866,cāng
没,1,867,méi mò
沟,1,868,gōu
沪,1,869,hù
沈,1,870,shěn
沉,1,871,chén
沁,1,872,qìn
怀,1,873,huái
忧,1,874,yōu
忱,1,875,chén
快,1,876,kuài
完,1,877,wán
宋,1,878,sòng
宏,1,879,hóng
牢,1,880,láo
究,1,881,jiū
穷,1,882,qióng
灾,1,883,zāi
良,1,884,liáng
证,1,885,zhèng
启,1,886,qǐ
评,1,887,píng
补,1,888,bǔ
初,1,889,chū
社,1,890,shè
祀,1,891,sì
识,1,892,shí zhì
诈,1,893,zhà
诉,1,894,sù
罕,1,895,hǎn
诊,1,896,zhěn
词,1,897,cí
译,1,898,yì
君,1,899,jūn
灵,1,900,líng
即,1,901,jí
层,1,902,céng
屁,1,903,pì
尿,1,904,niào suī
尾,1,905,wěi yǐ
迟,1,906,chí
局,1,907,jú
改,1,908,gǎi
张,1,909,zhāng
忌,1,910,jì
际,1,911,jì
陆,1,912,liù lù
阿,1,913,ā ē
陈,1,914,chén
阻,1,915,zǔ
附,1,916,fù
坠,1,917,zhuì
妓,1,918,jì
妙,1,919,miào
妖,1,920,yāo
姊,1,921,zǐ
妨,1,922,fáng
妒,1,923,dù
努,1,924,nǔ
忍,1,925,rěn
劲,1,926,jìn jìng
矣,1,927,yǐ
鸡,1,928,jī
纬,1,929,wěi
驱,1,930,qū
纯,1,931,chún
纱,1,932,shā
纲,1,933,gāng
纳,1,934,nà
驳,1,935,bó
纵,1,936,zòng
纷,1,937,fēn
纸,1,938,zhǐ
纹,1,939,wén
纺,1,940,fǎng
驴,1,941,lǘ
纽,1,942,niǔ
奉,1,943,fèng
玩,1,944,wán
环,1,945,huán
武,1,946,wǔ
青,1,947,qīng
责,1,948,zé
现,1,949,xiàn
玫,1,950,méi
表,1,951,biǎo
规,1,952,guī
抹,1,953,mā mǒ mò
卦,1,954,guà
坷,1,955,kē kě
坯,1,956,pī
拓,1,957,tà tuò
拢,1,958,lǒng
拔,1,959,bá
坪,1,960,píng
拣,1,961,jiǎn
坦,1,962,tǎn
担,1,963,dān dàn
坤,1,964,kūn
押,1,965,yā
抽,1,966,chōu
拐,1,967,guǎi
拖,1,968,tuō
者,1,969,zhě
拍,1,970,pāi
顶,1,971,dǐng
拆,1,972,chāi
拎,1,973,līn
拥,1,974,yōng
抵,1,975,dǐ
拘,1,976,jū
势,1,977,shì
抱,1,978,bào
拄,1,979,zhǔ
垃,1,980,lā
拉,1,981,lā lá
拦,1,982,lán
幸,1,983,xìng
拌,1,984,bàn
拧,1,985,níng nǐng nìng
拂,1,986,fú
拙,1,987,zhuō
招,1,988,zhāo
坡,1,989,pō
披,1,990,pī
拨,1,991,bō
择,1,992,zé zhái
抬,1,993,tái
拇,1,994,mǔ
拗,1,995,ào niù
其,1,996,qí
取,1,997,qǔ
茉,1,998,mò
苦,1,999,kǔ
昔,1,1000,xī
苛,1,1001,kē
若,1,1002,ruò
茂,1,1003,mào
苹,1,1004,píng
苗,1,1005,miáo
英,1,1006,yīng
苟,1,1007,gǒu
苑,1,1008,yuàn
苞,1,1009,bāo
范,1,1010,fàn
直,1,1011,zhí
茁,1,1012,zhuó
茄,1,1013,jiā qié
茎,1,1014,jīng
苔,1,1015,tāi tái
茅,1,1016,máo
枉,1,1017,wǎng
林,1,1018,lín
枝,1,1019,zhī
杯,1,1020,bēi
枢,1,1021,shū
柜,1,1022,guì jǔ
枚,1,1023,méi
析,1,1024,xī
板,1,1025,bǎn
松,1,1026,sōng
枪,1,1027,qiāng
枫,1,1028,fēng
构,1,1029,gòu
杭,1,1030,háng
杰,1,1031,jié
述,1,1032,shù
枕,1,1033,zhěn
丧,1,1034,sāng sàng
或,1,1035,huò
画,1,1036,huà
卧,1,1037,wò
事,1,1038,shì
刺,1,1039,cī cì
枣,1,1040,zǎo
雨,1,1041,yǔ
卖,1,1042,mài
郁,1,1043,yù
矾,1,1044,fán
矿,1,1045,kuàng
码,1,1046,mǎ
厕,1,1047,cè
奈,1,1048,nài
奔,1,1049,bēn bèn
奇,1,1050,jī qí
奋,1,1051,fèn
态,1,1052,tài
欧,1,1053,ōu
殴,1,1054,ōu
垄,1,1055,lǒng
妻,1,1056,qī
轰,1,1057,hōng
顷,1,1058,qǐng
转,1,1059,zhuǎn zhuàn
斩,1,1060,zhǎn
轮,1,1061,lún
软,1,1062,ruǎn
到,1,1063,dào
非,1,1064,fēi
