ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
1199,箱子/箱,箱子/箱,3*,37,36,,xiāngzi/xiāng,xiāngzi/xiāng,"[{""Traditional"": ""箱子"", ""Simplified"": ""箱子"", ""Pinyin"": ""xiāngzi"", ""PinyinYB"": ""xiāngzi"", ""MOE"": ""27926""}, {""Traditional"": ""箱"", ""Simplified"": ""箱"", ""Pinyin"": ""xiāng"", ""PinyinYB"": ""xiāng"", ""MOE"": ""27924""}]",N/M,box / classifier for box,紙箱，一箱水果。,我把書裝進箱子裡。 / 我們買了一箱橘子。
1200,小費,小费,3*,7,1,26974,xiǎofèi,xiǎofèi,,N,tip,給小費。,如果餐廳服務生服務得好，我都會給他小費。
1201,信封,信封,3*,14,3,27805,xìnfēng,xìnfēng,,N,envelope,一個信封。,我忘記把信放進信封裡就寄出去了。
1202,星星,星星,3*,21,13,28123 28125,xīngxing,xīngxing,,N,star,一顆星星。,晚上天氣很好，天空中有好多星星，非常漂亮。
1203,心情,心情,3*,140,154,27644,xīnqíng,xīnqíng,,N,mood,心情好，壞心情。,他今天考得很好，所以心情很好。天氣會影響人的心情嗎？
1204,選擇,选择,3*,275,244,28663,xuǎnzé,xuǎnzé,,V/N,"to choose, to select / choice",很多種選擇，不同的選擇。,因為他想學傳統漢字，他選擇來台灣學中文。 / 大學畢業後要做什麼可以有很多種選擇。
1205,許多,许多,3*,658,362,28413,xǔduō,xǔduō,,Det,"many, much, a lot of",許多人，許多國家，許多問題。,一個國家人太多會帶來許多問題，比方說食物不夠。
1206,眼,眼,3*,274,102,41795,yǎn,yǎn,,M,glance,看(了)一眼。,他看了那位小姐一眼，發現她是小學同學。
1207,嚴重,严重,3*,172,378,41759,yánzhòng,yánzhòng,,Vs,serious,,他沒去看醫生，所以病越來越嚴重。
1208,藥房,药房,3*,6,4,41160,yàofáng,yàofáng,,N,pharmacy,一家藥房。,我去藥房買藥。
1209,藥局,药局,3*,3,0,41171,yàojú,yàojú,,N,pharmacy,一家藥局。,那家藥局賣很多種的感冒藥。在醫院看完病以後，要到藥局拿藥。
1210,要求,要求,3*,270,139,41021,yāoqiú,yāoqiú,,V/N,"to claim, to request, to ask / request",提出要求，這個要求。,老闆要求我們上班不能遲到。 / 老闆提出的這個要求，我做不到。
1211,也許,也许,3*,290,132,40887,yěxǔ,yěxǔ,,Adv,"perhaps, maybe",,都已經十二點了，他也許不會來了。也許這件事情沒有你想的那麼難。
1212,夜,夜,3*,112,47,40917,yè,yè,,N,night,三天兩夜。,我們這次在台北玩了兩天一夜。我昨天喝了太多咖啡，整夜沒睡。
