ID,Traditional,Simplified,Level,Context,WritingFreq,SpeakingFreq,MOE,Zhuyin,Pinyin,POS,Meaning,Compounds,Examples
10413,煩悶,烦闷,7,,3,0,"[[""煩悶"", [""5530""]]]",ㄈㄢˊ ㄇㄣˋ,fánmèn,,,,
10414,反撲,反扑,7,,3,3,"[[""反撲"", [""5585""]]]",ㄈㄢˇ ㄆㄨ,fǎnpū,,,,
10415,繁瑣,繁琐,7,,4,4,"[[""繁瑣"", [""5573""]]]",ㄈㄢˊ ㄙㄨㄛˇ,fánsuǒ,,,,
10416,翻騰,翻腾,7,,5,1,"[[""翻騰"", [""5490""]]]",ㄈㄢ ㄊㄥˊ,fānténg,,,,
10417,反胃,反胃,7,,3,0,"[[""反胃"", [""5639""]]]",ㄈㄢˇ ㄨㄟˋ,fǎnwèi,,,,
10418,翻新,翻新,7,,3,1,"[[""翻新"", [""5503""]]]",ㄈㄢ ㄒㄧㄣ,fānxīn,,,,
10419,繁星,繁星,7,,3,1,"[[""繁星"", [""5566""]]]",ㄈㄢˊ ㄒㄧㄥ,fánxīng,,,,
10420,繁衍,繁衍,7,,6,12,"[[""繁衍"", [""5574""]]]",ㄈㄢˊ ㄧㄢˇ,fányǎn,,,,
10421,泛指,泛指,7,,2,1,"[[""泛指"", [""5681""]]]",ㄈㄢˋ ㄓˇ,fànzhǐ,,,,
10422,繁重,繁重,7,,3,3,"[[""繁重"", [""5568""]]]",ㄈㄢˊ ㄓㄨㄥˋ,fánzhòng,,,,
10423,翻轉,翻转,7,,5,2,"[[""翻轉"", [""5505""]]]",ㄈㄢ ㄓㄨㄢˇ,fānzhuǎn,,,,
10424,方程式,方程式,7,,11,2,"[[""方程式"", [""5896""]]]",ㄈㄤ ㄔㄥˊ ㄕˋ,fāngchéngshì,,,,
10425,放大鏡,放大镜,7,,3,6,"[[""放大鏡"", [""6029""]]]",ㄈㄤˋ ㄉㄚˋ ㄐㄧㄥˋ,fàngdàjìng,,,,
10426,放蕩,放荡,7,,4,0,"[[""放蕩"", [""6032""]]]",ㄈㄤˋ ㄉㄤˋ,fàngdàng,,,,
10427,防空,防空,7,,1,2,"[[""防空"", [""5941""]]]",ㄈㄤˊ ㄎㄨㄥ,fángkōng,,,,
10428,放牧,放牧,7,,5,6,"[[""放牧"", [""6025""]]]",ㄈㄤˋ ㄇㄨˋ,fàngmù,,,,
10429,放射,放射,7,,4,1,"[[""放射"", [""6060""]]]",ㄈㄤˋ ㄕㄜˋ,fàngshè,,,,
10430,放肆,放肆,7,,4,1,"[[""放肆"", [""6070""]]]",ㄈㄤˋ ㄙˋ,fàngsì,,,,
10431,防線,防线,7,,6,3,"[[""防線"", [""5949""]]]",ㄈㄤˊ ㄒㄧㄢˋ,fángxiàn,,,,
10432,仿效,仿效,7,,6,4,"[[""仿效"", [""5987""]]]",ㄈㄤˇ ㄒㄧㄠˋ,fǎngxiào,,,,
10433,芳心,芳心,7,,3,0,"[[""芳心"", [""5916""]]]",ㄈㄤ ㄒㄧㄣ,fāngxīn,,,,
10434,放映,放映,7,,4,3,"[[""放映"", [""6077""]]]",ㄈㄤˋ ㄧㄥˋ,fàngyìng,,,,
10435,方圓,方圆,7,,5,2,"[[""方圓"", [""5906""]]]",ㄈㄤ ㄩㄢˊ,fāngyuán,,,,
10436,仿照,仿照,7,,3,1,"[[""仿照"", [""5990""]]]",ㄈㄤˇ ㄓㄠˋ,fǎngzhào,,,,
10437,方正,方正,7,,3,1,"[[""方正"", [""5894""]]]",ㄈㄤ ㄓㄥˋ,fāngzhèng,,,,
10438,防治,防治,7,,8,45,"[[""防治"", [""5951""]]]",ㄈㄤˊ ㄓˋ,fángzhì,,,,
10439,放逐,放逐,7,,5,1,"[[""放逐"", [""6059""]]]",ㄈㄤˋ ㄓㄨˊ,fàngzhú,,,,
10440,誹謗,诽谤,7,,4,0,"[[""誹謗"", [""5413""]]]",ㄈㄟˇ ㄅㄤˋ,fěibàng,,,,
10441,非比尋常,非比寻常,7,,4,2,[],ㄈㄟ ㄅㄧˇ ㄒㄩㄣˊ ㄔㄤˊ,fēibǐxúncháng,,,,
10442,飛馳,飞驰,7,,3,0,"[[""飛馳"", [""5362""]]]",ㄈㄟ ㄔˊ,fēichí,,,,
10443,肥大,肥大,7,,4,2,"[[""肥大"", [""5383""]]]",ㄈㄟˊ ㄉㄚˋ,féidà,,,,
10444,沸沸揚揚,沸沸扬扬,7,,2,1,[],ㄈㄟˋ ㄈㄟˋ ㄧㄤˊ ㄧㄤˊ,fèifèiyángyáng,,,,
10445,肺腑,肺腑,7,,3,1,"[[""肺腑"", [""5435""]]]",ㄈㄟˋ ㄈㄨˇ,fèifǔ,,,,
10446,費解,费解,7,,4,1,"[[""費解"", [""5423""]]]",ㄈㄟˋ ㄐㄧㄝˇ,fèijiě,,,,
10447,肺結核,肺结核,7,,3,3,"[[""肺結核"", [""5438""]]]",ㄈㄟˋ ㄐㄧㄝˊ ㄏㄜˊ,fèijiéhé,,,,
10448,費勁,费劲,7,,3,1,"[[""費勁"", [""5424""]]]",ㄈㄟˋ ㄐㄧㄣˋ,fèijìn,,,,
10449,肥料,肥料,7,,7,87,"[[""肥料"", [""5385""]]]",ㄈㄟˊ ㄌㄧㄠˋ,féiliào,,,,
10450,廢寢忘食,废寝忘食,7,,3,1,"[[""廢寢忘食"", [""5454""]]]",ㄈㄟˋ ㄑㄧㄣˇ ㄨㄤˋ ㄕˊ,fèiqǐnwàngshí,,,,
10451,斐然,斐然,7,,2,0,"[[""斐然"", [""5404""]]]",ㄈㄟˇ ㄖㄢˊ,fěirán,,,,
10452,非同小可,非同小可,7,,4,1,"[[""非同小可"", [""5314""]]]",ㄈㄟ ㄊㄨㄥˊ ㄒㄧㄠˇ ㄎㄜˇ,fēitóngxiǎokě,,,,
10453,肥沃,肥沃,7,,5,11,"[[""肥沃"", [""5393""]]]",ㄈㄟˊ ㄨㄛˋ,féiwò,,,,
10454,非議,非议,7,,3,0,"[[""非議"", [""5323""]]]",ㄈㄟ ㄧˋ,fēiyì,,,,
10455,匪夷所思,匪夷所思,7,,5,1,"[[""匪夷所思"", [""5400""]]]",ㄈㄟˇ ㄧˊ ㄙㄨㄛˇ ㄙ,fěiyísuǒsī,,,,
10456,飛越,飞越,7,,4,5,"[[""飛越"", [""5377""]]]",ㄈㄟ ㄩㄝˋ,fēiyuè,,,,
10457,飛躍,飞跃,7,,3,1,"[[""飛躍"", [""5378""]]]",ㄈㄟ ㄩㄝˋ,fēiyuè,,,,
10458,廢止,废止,7,,4,1,"[[""廢止"", [""5456""]]]",ㄈㄟˋ ㄓˇ,fèizhǐ,,,,
10459,粉筆,粉笔,7,,3,4,"[[""粉筆"", [""5822""]]]",ㄈㄣˇ ㄅㄧˇ,fěnbǐ,,,,
10460,糞便,粪便,7,,7,4,"[[""糞便"", [""5874""]]]",ㄈㄣˋ ㄅㄧㄢˋ,fènbiàn,,,,
10461,奮不顧身,奋不顾身,7,,2,1,"[[""奮不顧身"", [""5864""]]]",ㄈㄣˋ ㄅㄨˊ ㄍㄨˋ ㄕㄣ,fènbúgùshēn,,,,
10462,分寸,分寸,7,,5,4,"[[""分寸"", [""5775""]]]",ㄈㄣ ㄘㄨㄣˋ,fēncùn,,,,
10463,分道揚鑣,分道扬镳,7,,3,1,"[[""分道揚鑣"", [""5721""]]]",ㄈㄣ ㄉㄠˋ ㄧㄤˊ ㄅㄧㄠ,fēndàoyángbiāo,,,,
10464,分段,分段,7,,4,1,"[[""分段"", [""5724""]]]",ㄈㄣ ㄉㄨㄢˋ,fēnduàn,,,,
10465,奮發,奋发,7,,3,2,"[[""奮發"", [""5866""]]]",ㄈㄣˋ ㄈㄚ,fènfā,,,,
10466,分發,分发,7,,3,1,"[[""分發"", [""5719""]]]",ㄈㄣ ㄈㄚ,fēnfā,,,,
10467,芬芳,芬芳,7,,4,2,"[[""芬芳"", [""5785""]]]",ㄈㄣ ㄈㄤ,fēnfāng,,,,
10468,紛飛,纷飞,7,,3,3,"[[""紛飛"", [""5791""]]]",ㄈㄣ ㄈㄟ,fēnfēi,,,,
10469,忿忿不平,忿忿不平,7,,2,1,"[[""忿忿不平"", [""5850""]]]",ㄈㄣˋ ㄈㄣˋ ㄅㄨˋ ㄆㄧㄥˊ,fènfènbùpíng,,,,
10470,憤憤不平,愤愤不平,7,,2,1,"[[""憤憤不平"", [""5856""]]]",ㄈㄣˋ ㄈㄣˋ ㄅㄨˋ ㄆㄧㄥˊ,fènfènbùpíng,,,,
10471,分工合作,分工合作,7,,3,3,"[[""分工合作"", [""5735""]]]",ㄈㄣ ㄍㄨㄥ ㄏㄜˊ ㄗㄨㄛˋ,fēngōnghézuò,,,,
10472,憤恨,愤恨,7,,5,0,"[[""憤恨"", [""5859""]]]",ㄈㄣˋ ㄏㄣˋ,fènhèn,,,,
10473,焚毀,焚毁,7,,3,2,"[[""焚毀"", [""5814""]]]",ㄈㄣˊ ㄏㄨㄟˇ,fénhuǐ,,,,
10474,分際,分际,7,,3,1,[],ㄈㄣˋ ㄐㄧˋ,fènjì,,,,
10475,分解,分解,7,,7,50,"[[""分解"", [""5747""]]]",ㄈㄣ ㄐㄧㄝˇ,fēnjiě,,,,
10476,分居,分居,7,,3,1,"[[""分居"", [""5749""]]]",ㄈㄣ ㄐㄩ,fēnjū,,,,
10477,憤慨,愤慨,7,,5,0,"[[""憤慨"", [""5858""]]]",ㄈㄣˋ ㄎㄞˇ,fènkǎi,,,,
10478,紛亂,纷乱,7,,5,2,"[[""紛亂"", [""5795""]]]",ㄈㄣ ㄌㄨㄢˋ,fēnluàn,,,,
10479,憤懣,愤懑,7,,2,0,"[[""憤懣"", [""5854""]]]",ㄈㄣˋ ㄇㄣˋ,fènmèn,,,,
10480,分門別類,分门别类,7,,3,2,"[[""分門別類"", [""5713""]]]",ㄈㄣ ㄇㄣˊ ㄅㄧㄝˊ ㄌㄟˋ,fēnménbiélèi,,,,
10481,粉末,粉末,7,,4,4,"[[""粉末"", [""5825""]]]",ㄈㄣˇ ㄇㄛˋ,fěnmò,,,,
10482,奮起,奋起,7,,3,2,[],ㄈㄣˋ ㄑㄧˇ,fènqǐ,,,,
10483,紛擾,纷扰,7,,4,3,"[[""紛擾"", [""5799""]]]",ㄈㄣ ㄖㄠˇ,fēnrǎo,,,,
10484,分身,分身,7,,4,2,"[[""分身"", [""5764""]]]",ㄈㄣ ㄕㄣ,fēnshēn,,,,
10485,粉身碎骨,粉身碎骨,7,,3,1,"[[""粉身碎骨"", [""5834""]]]",ㄈㄣˇ ㄕㄣ ㄙㄨㄟˋ ㄍㄨˇ,fěnshēnsuìgǔ,,,,
10486,粉飾,粉饰,7,,2,0,"[[""粉飾"", [""5832""]]]",ㄈㄣˇ ㄕˋ,fěnshì,,,,
10487,憤世嫉俗,愤世嫉俗,7,,3,1,"[[""憤世嫉俗"", [""5860""]]]",ㄈㄣˋ ㄕˋ ㄐㄧˊ ㄙㄨˊ,fènshìjísú,,,,
10488,粉刷,粉刷,7,,3,1,"[[""粉刷"", [""5835""]]]",ㄈㄣˇ ㄕㄨㄚ,fěnshuā,,,,
10489,分水嶺,分水岭,7,,2,2,"[[""分水嶺"", [""5770""]]]",ㄈㄣ ㄕㄨㄟˇ ㄌㄧㄥˇ,fēnshuǐlǐng,,,,
10490,分攤,分摊,7,,3,5,"[[""分攤"", [""5726""]]]",ㄈㄣ ㄊㄢ,fēntān,,,,
10491,分外,分外,7,,4,1,"[[""分外"", [""5845""]]]",ㄈㄣˋ ㄨㄞˋ,fènwài,,,,
10491,份外,份外,7,,4,1,[],ㄈㄣˋ ㄨㄞˋ,fènwài,,,,
10492,焚香,焚香,7,,3,1,"[[""焚香"", [""5816""]]]",ㄈㄣˊ ㄒㄧㄤ,fénxiāng,,,,
10493,奮勇,奋勇,7,,3,1,"[[""奮勇"", [""5872""]]]",ㄈㄣˋ ㄩㄥˇ,fènyǒng,,,,
10494,分支,分支,7,,5,5,"[[""分支"", [""5759""]]]",ㄈㄣ ㄓ,fēnzhī,,,,
10495,奉,奉,7,,31,7,"[[""奉"", [""6247""]]]",ㄈㄥˋ,fèng,,,,
10496,風采,风采,7,,4,3,"[[""風采"", [""6167""]]]",ㄈㄥ ㄘㄞˇ,fēngcǎi,,,,
10497,奉承,奉承,7,,6,2,"[[""奉承"", [""6260""]]]",ㄈㄥˋ ㄔㄥˊ,fèngchéng,,,,
10498,風吹草動,风吹草动,7,,2,2,"[[""風吹草動"", [""6155""]]]",ㄈㄥ ㄔㄨㄟ ㄘㄠˇ ㄉㄨㄥˋ,fēngchuīcǎodòng,,,,
10499,風範,风范,7,,5,4,"[[""風範"", [""6104""]]]",ㄈㄥ ㄈㄢˋ,fēngfàn,,,,
10500,豐功偉業,丰功伟业,7,,2,1,"[[""豐功偉業"", [""6223""]]]",ㄈㄥ ㄍㄨㄥ ㄨㄟˇ ㄧㄝˋ,fēnggōngwěiyè,,,,
10501,風寒,风寒,7,,3,4,"[[""風寒"", [""6126""]]]",ㄈㄥ ㄏㄢˊ,fēnghán,,,,
10502,封號,封号,7,,5,4,"[[""封號"", [""6090""]]]",ㄈㄥ ㄏㄠˋ,fēnghào,,,,
10503,豐厚,丰厚,7,,7,4,"[[""豐厚"", [""6224""]]]",ㄈㄥ ㄏㄡˋ,fēnghòu,,,,
10504,風華,风华,7,,4,5,[],ㄈㄥ ㄏㄨㄚˊ,fēnghuá,,,,
10505,烽火,烽火,7,,3,5,"[[""烽火"", [""6198""]]]",ㄈㄥ ㄏㄨㄛˇ,fēnghuǒ,,,,
10506,俸祿,俸禄,7,,7,1,[],ㄈㄥˋ ㄌㄨˋ,fènglù,,,,
10507,鋒芒,锋芒,7,,2,0,"[[""鋒芒"", [""6211""]]]",ㄈㄥ ㄇㄤˊ,fēngmáng,,,,
10508,風貌,风貌,7,,6,11,"[[""風貌"", [""6102""]]]",ㄈㄥ ㄇㄠˋ,fēngmào,,,,
10509,風靡,风靡,7,,4,3,"[[""風靡"", [""6103""]]]",ㄈㄥ ㄇㄧˇ,fēngmǐ,,,,
10510,豐沛,丰沛,7,,4,12,"[[""豐沛"", [""6217""]]]",ㄈㄥ ㄆㄟˋ,fēngpèi,,,,
10511,風平浪靜,风平浪静,7,,3,1,"[[""風平浪靜"", [""6099""]]]",ㄈㄥ ㄆㄧㄥˊ ㄌㄤˋ ㄐㄧㄥˋ,fēngpínglàngjìng,,,,
10512,風起雲湧,风起云涌,7,,2,3,"[[""風起雲湧"", [""6134""]]]",ㄈㄥ ㄑㄧˇ ㄩㄣˊ ㄩㄥˇ,fēngqǐyúnyǒng,,,,
10513,奉勸,奉劝,7,,3,2,"[[""奉勸"", [""6256""]]]",ㄈㄥˋ ㄑㄩㄢˋ,fèngquàn,,,,
10514,豐饒,丰饶,7,,2,3,"[[""豐饒"", [""6229""]]]",ㄈㄥ ㄖㄠˊ,fēngráo,,,,
10515,縫紉,缝纫,7,,3,2,"[[""縫紉"", [""6243""]]]",ㄈㄥˊ ㄖㄣˋ,féngrèn,,,,
