Traditional,Simplified,Pinyin,Meaning
真,真,zhēn,A: really [PAVC-106]
知道,知道,zhīdào,V: to know [PAVC-106]
只,只,zhǐ,A: only [PAVC-106]
會,会,huì,"AV, N: can, know how to [PAVC-107]; will, shall [PAVC-301]; meeting, party [PAVC-211]"
菜,菜,cài,"N: food, cuisine [PAVC-107]"
唱,唱,chàng,V: to sing [PAVC-107]
吃,吃,chī,V: to eat; RC: (～飽) to eat one's fill; VO: (~飯) to have a meal [PAVC-107]
得,得,de,P: a particle used between a verb or adjective and its complement to indicate manner or degree [PAVC-107]
飯,饭,fàn,"N: food, meal [PAVC-107]"
歌兒,歌儿,gēr,N: song (last character can be omitted) [PAVC-107]
還,还,hái,"A: still, yet [PAVC-107]"
好聽,好听,hǎotīng,"SV: to be pleasant to listen to, pleasing to the ear, nice sounding [PAVC-107]"
喝,喝,hē,V: to drink [PAVC-107]
畫,画,huà,"V: to paint, to draw [PAVC-107]"
話,话,huà,"N: words, spoken language [PAVC-107]"
畫畫兒,画画儿,huàhuàr,"VO: to paint, to draw [PAVC-107]"
畫兒,画儿,huàr,"N: painting, picture [PAVC-107]"
教,教,jiāo,V: to teach [PAVC-107]
教書,教书,jiāoshū,VO: to teach [PAVC-107]
酒,酒,jiǔ,N: wine or liquor [PAVC-107]
可以,可以,kěyǐ,"AV: can, may, be permitted [PAVC-107]"
快,快,kuài,"SV, V: to be fast; quickly [PAVC-107]"
慢,慢,màn,"SV, A: to be slow; slowly [PAVC-107]"
難,难,nán,SV: to be difficult [PAVC-107]
呢,呢,ne,P: a question particle; P: a particle indicating that the situation or state of affairs is being sustained [PAVC-107]
能,能,néng,"AV: can, be physically able to [PAVC-107]"
念,念,niàn,"V: to read aloud, to study [PAVC-107]"
念書,念书,niànshū,"VO: to read books, to study [PAVC-107]"
事,事,shì,"N: affair, work [PAVC-107]"
說,说,shuō,"V: to speak, to say [PAVC-107]"
說話,说话,shuōhuà,"NO: to speak, to say, to talk (words) [PAVC-107]"
聽,听,tīng,V: to listen (also ～到); ( ～見) to hear [PAVC-107]
現在,现在,xiànzài,"MA: now, right now [PAVC-107]"
寫,写,xiě,V: to write [PAVC-107]
寫字,写字,xiězì,VO: to write characters [PAVC-107]
一點兒,一点儿,yìdiǎnr,NU-M: a little (first or last character can be omitted) [PAVC-107]
意思,意思,yìsī,"N: meaning, idea, definition [PAVC-107]"
有一點兒,有一点儿,yǒuyìdiǎnr,"A: to be slightly, to be a little bit, to be somewhat (second and fourth characters are optional) [PAVC-107]"
有意思,有意思,yǒuyìsī,SV: to be interesting [PAVC-107]
在,在,zài,"A: indicating that action is in progress [PAVC-107]; V, CV: to be (at, in, on, etc.) [PAVC-109]"
字,字,zì,N: character [PAVC-107]
做,做,zuò,"V: to do, to make (character with 古) [PAVC-107]"
做飯,做饭,zuòfàn,VO: to cook food [PAVC-107]
做事,做事,zuòshì,"VO: to take care of things, to do things, to do work [PAVC-107]"
愛,爱,ài,"V, AV: to love; be apt to [PAVC-108]"
不錯,不错,búcuò,"SV: to be not bad, pretty good [PAVC-108]"
不一定,不一定,bùyídìng,"A: uncertain, not for sure, not necessarily [PAVC-108]"
茶,茶,chá,N: tea [PAVC-108]
常,常,cháng,"A: often, usually, generally [PAVC-108]"
穿,穿,chuān,"V: to wear, to put on [PAVC-108]"
錯,错,cuò,"SV, N: to be wrong; mistake [PAVC-108]"
對了,对了,duìle,"IE: right, correct [PAVC-108]"
父,父,fù,"N: father, male relative [PAVC-108]"
父母,父母,fùmǔ,N: parents [PAVC-108]
父親,父亲,fùqīn,N: father [PAVC-108]
畫家,画家,huàjiā,N: a painter (an artist) [PAVC-108]
件,件,jiàn,"M: measure word for clothes, things, affairs, etc.  [PAVC-108]"
就,就,jiù,"A: just, exactly, only [PAVC-108]; then, right away [PAVC-111]; (indicating immediacy) [PAVC-201]"
母,母,mǔ,"N: mother, female [PAVC-108]"
母親,母亲,mǔqīn,N: mother [PAVC-108]
親,亲,qīn,"BF: blood relation, relative [PAVC-108]; V: to kiss [PAVC-414]"
容易,容易,róngyì,SV: to be easy [PAVC-108]
生意,生意,shēngyì,"N: business, trade [PAVC-108]"
書法,书法,shūfǎ,N: calligraphy [PAVC-108]
水,水,shuǐ,N: water [PAVC-108]
所以,所以,suǒyǐ,"MA: therefore, so [PAVC-108]"
跳舞,跳舞,tiàowǔ,VO: to dance [PAVC-108]
聽說,听说,tīngshuō,"IE: hear, hear it said [PAVC-108]"
外,外,wài,"L: outside, exterior [PAVC-108]"
外國,外国,wàiguó,"N: foreign, foreign country [PAVC-108]"
外文,外文,wàiwén,N: foreign language [PAVC-108]
為什麼,为什么,wèishénme,MA: why [PAVC-108]
衣服,衣服,yīfú,"N: clothes, clothing [PAVC-108]"
一定,一定,yídìng,"A: certainly, indeed, surely [PAVC-108]"
因為,因为,yīnwèi,MA: because [PAVC-108]
有錢,有钱,yǒuqián,"SV: to have money, to be rich [PAVC-108]"
最,最,zuì,"A: the most, -est [PAVC-108]"
邊,边,biān,N (PW): side (also ～兒) [PAVC-109]
大樓,大楼,dàlóu,"N: big building, skyscraper [PAVC-109]"
地,地,dì,"N: the earth, land soil; (～上) ground [PAVC-109]"
地方,地方,dìfāng,N: place [PAVC-109]
底下,底下,dǐxià,"N (PW): underneath, below, beneath [PAVC-109]"
店,店,diàn,"N, BF: store, shop [PAVC-109]"
飯館兒,饭馆儿,fànguǎnr,N: restaurant [PAVC-109]
飯廳,饭厅,fàntīng,N: dining room [PAVC-109]
方便,方便,fāngbiàn,SV: to be convenient [PAVC-109]
房間,房间,fángjiān,N: room [PAVC-109]
房子,房子,fángzi,N: house [PAVC-109]
附近,附近,fùjìn,N (PW): nearby [PAVC-109]
後,后,hòu,"L: after, behind [PAVC-109]"
後面,后面,hòumiàn,"N (PW): behind, back [PAVC-109]"
家,家,jiā,"N: home, family; M: measure word for stores [PAVC-109]"
間,间,jiān,M: measure word for rooms [PAVC-109]
近,近,jìn,SV: to be near [PAVC-109]
客廳,客厅,kètīng,N: living room [PAVC-109]
離,离,lí,"CV: to be away from, apart from, separated from [PAVC-109]"
裡,里,lǐ,"L: in, inside (also written 裏) [PAVC-109]"
裡面,里面,lǐmiàn,N (PN): inside [PAVC-109]
樓,楼,lóu,"N: floor, storey [PAVC-109]"
樓上,楼上,lóushàng,N (PW): upstairs [PAVC-109]
樓下,楼下,lóuxià,N (PW): downstairs [PAVC-109]
路,路,lù,N: road; (～上) on the road [PAVC-109]
面,面,miàn,"N: face, surface, side [PAVC-109]"
哪裡,哪里,nǎlǐ,"IE: an expression of modest denial (""No, not really."") [PAVC-109] [PAVC-203]"
哪兒,哪儿,nǎr,N (QW): where? [PAVC-109]
那麼,那么,nàme,"A: well, in that case [PAVC-109] [PAVC-203]"
那兒,那儿,nàr,N (PW): there [PAVC-109]
那邊,那边,nèibiān,"N (PW): there, over there [PAVC-109]"
旁邊,旁边,pángbiān,N (PW): beside [PAVC-109]
前,前,qián,"L: front, forward, before [PAVC-109]"
前面,前面,qiánmiàn,"N (PW): front, ahead [PAVC-109]"
商店,商店,shāngdiàn,N: store [PAVC-109]
上,上,shàng,"L: up, on [PAVC-109]; V: to go to, to get on, to board [PAVC-111]"
上面,上面,shàngmiàn,"N (PW): above, up there [PAVC-109]"
書店,书店,shūdiàn,N: bookstore [PAVC-109]
書房,书房,shūfáng,N: studying room [PAVC-109]
書桌,书桌,shūzhuō,N: desk [PAVC-109]
所,所,suǒ,M: measure word for buildings [PAVC-109]
圖書館,图书馆,túshūguǎn,N: library [PAVC-109]
外面,外面,wàimiàn,N (PW): outside [PAVC-109]
屋子,屋子,wūzi,N: room [PAVC-109]
下,下,xià,"L: down, under [PAVC-109]; V: to disembark, to get off [PAVC-111]; M: measure word for downward actions of the hand [PAVC-308]"
下面,下面,xiàmiàn,"N (PW): under, below [PAVC-109]"
小學,小学,xiǎoxué,N: elementary school [PAVC-109]
椅子,椅子,yǐzi,N: chair [PAVC-109]
遠,远,yuǎn,SV: to be far from [PAVC-109]
