Traditional,Simplified,Pinyin,Meaning
衛生設備,卫生设备,wèishēngshèbèi,"N: sanitary facilities, sanitary equipment [PAVC-411]"
衛生,卫生,wèishēng,"SV: to be sanitary, to be hygienic [PAVC-411]"
設備,设备,shèbèi,"N: equipment, facilities, installations [PAVC-411]"
衛生紙,卫生纸,wèishēngzhǐ,"N: toilet paper, bathroom tissue (M: 包, 張) [PAVC-411]"
面紙,面纸,miànzhǐ,"N: facial tissue (M: 包, 張) [PAVC-411]"
改善,改善,gǎishàn,V: to improve [PAVC-411]
戒指,戒指,jièzhǐ,N: finger ring [PAVC-411]
手指頭,手指头,shǒuzhǐtóu,N: finger [PAVC-411]
隨身聽,随身听,suíshēntīng,"N: portable music player, ""walkman"" [PAVC-411]"
計算機,计算机,jìsuànjī,N: calculator [PAVC-411]
計算,计算,jìsuàn,N: to calculate [PAVC-411]
科技,科技,kējì,N: science and technology [PAVC-411] [PAVC-412]
海關,海关,hǎiguān,"N: customs, immigration services [PAVC-411]"
檢查,检查,jiǎnchá,"N, V: check-up, examination; to check, examine, inspect [PAVC-411]"
繳稅,缴税,jiǎoshuì,VO: to pay taxes [PAVC-411]
繳,缴,jiǎo,"V: to pay taxes, to pay fees, to hand over, to hand in [PAVC-411]"
稅,税,shuì,"N: tax, levy, duty [PAVC-411]"
房屋稅,房屋税,fángwūshuì,N: house duty [PAVC-411]
地價稅,地价税,dìjiàshuì,N: land tax [PAVC-411]
所得稅,所得税,suǒdéshuì,N: income tax [PAVC-411]
關稅,关税,guānshuì,"N: customs duties, tariff duties [PAVC-411]"
上稅,上税,shàngshuì,"VO: to pay taxes, to pay duties [PAVC-411]"
打稅,打税,dǎshuì,"VO: to pay taxes, to pay duties [PAVC-411]"
免稅商店,免税商店,miǎnshuìshāngdiàn,N: duty-free shop (M: 家) [PAVC-411]
禮多人,礼多人,lǐduōrén,IE: (no one finds fault in) extra courtesy (～不怪) [PAVC-411]
而已,而已,éryǐ,P: that's all; nothing more [PAVC-411]
標準,标准,biāozhǔn,"N, SV: a standard, a criterion; to meet a standard [PAVC-411]"
肩膀,肩膀,jiānbǎng,N: shoulder [PAVC-411]
專心,专心,zhuānxīn,"SV, A: to be attentive, make a concentrated effort; whole-heartedly [PAVC-411]"
嚇一跳,吓一跳,xiàyítiào,"V-NU-M: to be startled for a moment, to cause someone to jump with surprise [PAVC-411]"
嚇,吓,xià,"V, SV: to frighten, startle, scare, intimidate; to be frightened [PAVC-411]"
撿,捡,jiǎn,"V: to pick up, to collect, to gather, to find [PAVC-411]"
大伯,大伯,dàbó,"N: uncle, father's eldest brother [PAVC-411]"
伯父,伯父,bófù,"N: uncle, father's elder brother, polite title for elderly gentleman [PAVC-411]"
合照,合照,hézhào,"N, V: group photo; to take a group photograph [PAVC-411]"
自從,自从,zìcóng,"A: ever since, from [PAVC-411]"
台商,台商,Táishāng,N: Taiwanese businessman [PAVC-411]
通航,通航,tōngháng,V: to be open to navigation or air traffic [PAVC-411]
打斷,打断,dǎduàn,"V, RC: to interrupt, to cut short, to break [PAVC-411]"
斷,断,duàn,"V, RE: to break, to snap [PAVC-411]"
班機,班机,bānjī,N: scheduled flight [PAVC-411]
登機,登机,dēngjī,V: to board a plane [PAVC-411]
誤點,误点,wùdiǎn,"SV: to be late, to be overdue, to be behind schedule [PAVC-411]"
航空公司,航空公司,hángkōnggōngsī,N: airline company (M: 家) [PAVC-411]
冷淡,冷淡,lěngdàn,"SV: to be indifferent, to be cold, to be apathetic [PAVC-411]"
淡,淡,dàn,"SV: to be bland, to be pale, to be insipid, to be weak [PAVC-411]"
濃,浓,nóng,"SV: to be strong, to be thick, to be concentrated [PAVC-411]"
取消,取消,qǔxiāo,"V: to cancel, to abolish [PAVC-411]"
旅客,旅客,lǚkè,N: passenger [PAVC-411]
顧客,顾客,gùkè,"N: client, customer [PAVC-411]"
說明,说明,shuōmíng,"N, V: explanation, exposition, caption; to explain, to clarify, to expound [PAVC-411]"
說明書,说明书,shuōmíngshū,"N: written instructions or directions, explanatory document [PAVC-411]"
降落,降落,jiàngluò,"V: to descend, to land [PAVC-411]"
增加,增加,zēngjiā,"V: to increase, to add [PAVC-411]"
海峽,海峡,hǎixiá,"N: channel, strait [PAVC-411]"
岸,岸,àn,"N: bank, shore, beach, coast [PAVC-411]"
交流,交流,jiāoliú,"N, V: exchange, interchange; to exchange, to interchange [PAVC-411]"
溝通,沟通,gōutōng,"N, V: communication; to communicate [PAVC-411]"
代溝,代沟,dàigōu,N: generation gap [PAVC-411]
非法,非法,fēifǎ,"AT: to be illegal, to be unlawful [PAVC-411]"
合法,合法,héfǎ,"AT: to be legal, to be lawful, to be legitimate [PAVC-411]"
走私,走私,zǒusī,"N, V: smuggling; to smuggle [PAVC-411]"
造成,造成,zàochéng,"V: to cause, to form, to make, to bring about [PAVC-411]"
來往,来往,láiwǎng,"V: to have dealings with, to contact, to correspond with [PAVC-411]"
詞彙,词汇,cíhuì,N: vocabulary [PAVC-411]
山西,山西,Shānxī,"N: Shanxi, province in China between Hebei (河北) and Shaanxi (陝西) [PAVC-411]"
馬桶,马桶,mǎtōng,"N: toilet, nightstool [PAVC-411]"
行星,行星,xíngxīng,N: planet [PAVC-412]
紙張,纸张,zhǐzhāng,N: paper [PAVC-412]
回收處,回收处,huíshōuchù,N: recycling collection site [PAVC-412]
地下室,地下室,dìxiàshì,"N: cellar, basement, rooms underground [PAVC-412]"
回收,回收,huíshōu,"N, V: collection for recycling or re-use; to collect for recycling or re-use [PAVC-412]"
購物中心,购物中心,gòuwùzhōngxīn,"N: shopping center, shopping mall [PAVC-412]"
大減價,大减价,dàjiǎnjià,N: big sale [PAVC-412]
減價,减价,jiǎnjià,VO: to reduce prices [PAVC-412]
打折,打折,dǎzhé,"VO: to discount (for example, ～八～ means a 20% discount, or 80% of the original price) [PAVC-412]"
折扣,折扣,zhékòu,"N: discount, rebate, lowering of desirable quality [PAVC-412]"
垃圾,垃圾,lèsè,"N: garbage, refuse, trash [PAVC-412]"
垃圾桶,垃圾桶,lèsètǒng,"N: trash can, garbage can [PAVC-412]"
廚餘,厨余,chúyú,N: kitchen waste [PAVC-412]
肥料,肥料,féiliào,N: fertilizer [PAVC-412]
收破爛,收破烂,shōupòlàn,"VO: to collect junk, to collect scrap [PAVC-412]"
破爛,破烂,pòlàn,"N, SV: dilapidated; to be worn-out [PAVC-412]"
大驚小怪,大惊小怪,dàjīngxiǎoguài,"IE: to make a fuss over a small matter, much ado about nothing [PAVC-412]"
再生,再生,zàishēng,"AT: recycled, regenerated, re-used [PAVC-412]"
玻璃,玻璃,bōlí,"N: glass (M: 片, 塊) [PAVC-412]"
收買,收买,shōumǎi,"V: to buy up, to purchase, to buy over, to bribe, to win people's hearts or support by less than honourable means [PAVC-412]"
車行,车行,chēháng,N: car dealership [PAVC-412]
目的,目的,mùdì,"N: purpose, aim, objective [PAVC-412]"
目標,目标,mùbiāo,"N: target, goal [PAVC-412]"
目的地,目的地,mùdìdì,N: destination [PAVC-412]
考慮,考虑,kǎolǜ,"V: to think over, to consider [PAVC-412]"
污染,污染,wūrǎn,"N, V: pollution, contamination; to pollute, contaminate, adulterate (first character also written 汙 or 汚) [PAVC-412]"
保護,保护,bǎohù,"N, V: protection; to protect, safeguard [PAVC-412]"
環境保護,环境保护,huánjìngbǎohù,N: environmental protection (full name) [PAVC-412]
環保,环保,huánbǎo,N: environmental protection (short name) [PAVC-412]
引起,引起,yǐnqǐ,"V: to give rise to, to lead to, to cause, to arouse, to incite [PAVC-412]"
提醒,提醒,tíxǐng,"V: to remind, to call attention to [PAVC-412]"
愛惜,爱惜,àixí,"V: to treasure, to cherish [PAVC-412]"
節約,节约,jiéyuē,"V: to economize, to be frugal, to use with thrift, to save [PAVC-412]"
能源,能源,néngyuán,N: energy source [PAVC-412]
水源,水源,shuǐyuán,N: water source [PAVC-412]
核能,核能,hénéng,"N: nuclear energy, atomic energy [PAVC-412]"
電廠,电厂,diànchǎng,N: electric power plant [PAVC-412]
太陽能,太阳能,tàiyángnéng,"N: solar energy, solar power energy [PAVC-412]"
風力發電,风力发电,fēnglìfādiàn,N: generating electric powered by wind turbine [PAVC-412]
風力,风力,fēnglì,"N: wind power, wind force [PAVC-412]"
發電,发电,fādiàn,VO: to generate electric power [PAVC-412]
破壞,破坏,pòhuài,"V: to destroy, to wreck [PAVC-412]"
森林,森林,sēnlín,N: forest (M: 片) [PAVC-412]
樹林,树林,shùlín,"N: woods, grove (M: 片) [PAVC-412]"
雨林,雨林,yǔlín,N: rainforest [PAVC-412]
管理,管理,guǎnlǐ,"V: to manage, to administer, to run [PAVC-412]"
管理員,管理员,guǎnlǐyuán,"N: manager, administrator, superintendent [PAVC-412]"
廢棄物,废弃物,fèiqìwù,"N: discarded materials, wastes, exhausts; (～處理法) 1974 Waste Disposal Act in Taiwan [PAVC-412]"
廢物,废物,fèiwù,"N: trash, waste material, rubbish, scrap [PAVC-412]"
廢料,废料,fèiliào,"N: waste material, waste matter, scrap, refuse, waste [PAVC-412]"
廢話,废话,fèihuà,"N: nonsense, superfluous words, useless words [PAVC-412]"
不至於,不至于,búzhìyú,"PT: not to the point of, not so far as [PAVC-412]"
按喇叭,按喇叭,ànlǎbā,"VO: to blow a horn, to honk a horn of a vehicle [PAVC-412]"
按,按,àn,"V: to press, to push down [PAVC-412]"
喇叭,喇叭,lǎbā,N: brass or wind musical instrument [PAVC-412]
吹,吹,chuī,"V: to blow, to puff, to play a wind instrument [PAVC-412]"
抗議,抗议,kàngyì,"N, V: protest; to protest [PAVC-412]"
噪音,噪音,zàoyīn,"N: unpleasant noise, din, clamor [PAVC-412]"
退錢,退钱,tuìqián,VO: to refund money [PAVC-412]
退步,退步,tuìbù,"VO: to regress, to decline [PAVC-412]"
要命,要命,yàomìng,"SV, VO: to an extreme degree, to the point of death; to take one's life (also figuratively) [PAVC-412]"
不耐煩,不耐烦,búnàifán,SV: to be impatient [PAVC-412]
耐心,耐心,nàixīn,N: patience [PAVC-412]
寶特瓶,宝特瓶,bǎotèpíng,"N: a large plastic bottle, typically containing a soft drink [PAVC-412]"
塑膠,塑胶,sùjiāo,N: plastic [PAVC-412]
輪胎,轮胎,lúntāi,N: tyre [PAVC-412]
輪子,轮子,lúnzi,N: wheel [PAVC-412]
尿布,尿布,niàobù,N: diaper [PAVC-412]
尿,尿,niào,N: urine [PAVC-412]
小便,小便,xiǎobiàn,V: to urinate [PAVC-412]
埋,埋,mái,V: to bury [PAVC-412]
二氧化碳,二氧化碳,èryǎnghuàtàn,N: carbon dioxide [PAVC-412]
一氧化碳,一氧化碳,yìyǎnghuàtàn,N: carbon monoxide [PAVC-412]
氧氣,氧气,yǎngqì,N: oxygen [PAVC-412]
溫室效應,温室效应,wēnshìxiàoyìng,N: greenhouse effect [PAVC-412]
癌症,癌症,áizhèng,N: cancer (first character also pronounced yán) [PAVC-412]
皮膚癌,皮肤癌,pífū'ái,N: skin cancer [PAVC-412]
鼻癌,鼻癌,bí'ái,N: nose cancer [PAVC-412]
腦癌,脑癌,nǎo'ái,N: brain cancer [PAVC-412]
血癌,血癌,xiě'ái,N: leukemia [PAVC-412]
冰河,冰河,bīnghé,N: glacier (M: 條) [PAVC-412]
科學家,科学家,kēxuéjiā,N: scientist [PAVC-412]
科學,科学,kēxué,"N, SV: science; to be scientific [PAVC-412]"
科學界,科学界,kēxuéjiè,"N: the world of science, the community of scientists [PAVC-412]"
遺傳,遗传,yíchuán,"N: heredity, inheritance, genetics [PAVC-412] [PAVC-511]"
發明,发明,fāmíng,"N, V: invention; to invent [PAVC-412]"
愛迪生,爱迪生,Àidíshēng,N: transliteration of Thomas Alva Edison's surname [PAVC-412]
世紀,世纪,shìjì,N: century [PAVC-412] [PAVC-502]
污染防制,污染防制,wūrǎnfángzhì,"N: pollution prevention, contamination avoidance, (空氣～法) 1974 Air Pollution Prevention Act [PAVC-412]"
寶,宝,bǎo,"N: transliteration of the chemical prefix poly-, used in names of many polymers [PAVC-412]"
寶特,宝特,bǎotè,"N: polyethylene terephthalate (PET, short name) [PAVC-412]"
飛盤,飞盘,fēipán,N: frisbee [PAVC-413]
蓋子,盖子,gàizi,"N: lid, cover [PAVC-413]"
猜,猜,cāi,"V: to guess, to speculate [PAVC-413]"
猜出來,猜出来,cāichūlái,RC: to figure out by guessing [PAVC-413]
做夢,做梦,zuòmèng,VO: to dream [PAVC-413]
夢,梦,mèng,N: dream [PAVC-413]
美夢,美梦,měimèng,N: pleasant dream [PAVC-413]
惡夢,恶梦,èmèng,N: nightmare [PAVC-413]
白日夢,白日梦,báirìmèng,N: daydream [PAVC-413]
夢到,梦到,mèngdào,"RC: to see in a dream, to dream about [PAVC-413]"
夢見,梦见,mèngjiàn,"RC: to see in a dream, to dream about [PAVC-413]"
關於,关于,guānyú,"CV: concerning, with regard to, about [PAVC-413]"
孝順,孝顺,xiàoshùn,"SV, V: to be filial; to show filial obedience [PAVC-413]"
過世,过世,guòshì,"V: to die, to pass away [PAVC-413]"
過日子,过日子,guòrìzi,"VO: to live, to survive [PAVC-413]"
結冰,结冰,jiébīng,"VO: to freeze up, to ice up [PAVC-413]"
結,结,jié,"N, V: knot; to bear (fruit), to knot [PAVC-413]"
窮,穷,qióng,"SV: to be poor, to be poverty-stricken [PAVC-413]; A: continuously or exhaustively [PAVC-501]"
窮人,穷人,qióngrén,"N: destitute people, the poor [PAVC-413]"
薄,薄,báo,"SV: to be thin, flimsy (also pronounced bó) [PAVC-413]"
瘋,疯,fēng,"SV, V: to be insane, crazy, mad; to go crazy, to go mad [PAVC-413]"
瘋子,疯子,fēngzi,"N: lunatic, madman [PAVC-413]"
發瘋,发疯,fāfēng,"VO: to go mad, to lose one's mind [PAVC-413]"
凍,冻,dòng,"SV, V: to be freezing cold; to freeze [PAVC-413]"
冷凍,冷冻,lěngdòng,V: to freeze  [PAVC-413]
果凍,果冻,guǒdòng,"N: gelatin, ""Jell-O"" [PAVC-413]"
條件,条件,tiáojiàn,"N: conditions, terms [PAVC-413]"
說話算話,说话算话,shuōhuàsuànhuà,"IE: to mean what one says, to keep one's word; (～不～) to fail to keep a promise, to break one's word, to be unreliable in keeping one's word [PAVC-413]"
向來,向来,xiànglái,"A: from past to present, always, all along (for routine conditions) [PAVC-413]"
作證,作证,zuòzhèng,"VO: to testify, to bear witness (second character also written 証) [PAVC-413]"
證人,证人,zhèngrén,N: witness (first character also written 証) [PAVC-413]
證件,证件,zhèngjiàn,"N: documents, papers, credentials, certificates (first character also written 証) [PAVC-413]"
蛇,蛇,shé,"N: snake, serpent (M: 條) [PAVC-413]"
迷信,迷信,míxìn,"N, SV, V: superstition; to be superstitious; to believe a superstition [PAVC-413]"
風水,风水,fēngshuǐ,"N: landscape geomancy, feng shui [PAVC-413]"
轉身,转身,zhuǎnshēn,"VO: to turn one's body, to turn around [PAVC-413]"
轉眼,转眼,zhuǎnyǎn,"A: in the twinkling of an eye, in a very brief period of time, instantly, in a moment [PAVC-413]"
勉強,勉强,miǎnqiǎng,"V, SV, A: to force somebody to do something, to manage with an effort, to do with difficulty; to be strained, to be constrained, to be unnatural, to be unconvincing; reluctantly, gurdgingly, unwillingly [PAVC-413]"
插嘴,插嘴,chāzuǐ,"VO: to interrupt a conversation, to cut in with one's own opinion [PAVC-413]"
插,插,chā,"V: to insert, to stick in [PAVC-413]"
插隊,插队,chāduì,VO: to cut in line [PAVC-413]
插圖,插图,chātú,N: illustrations or plates (as in a book or magazine) [PAVC-413]
插花,插花,chāhuā,"N, VO: flower arrangement; to arrange flowers [PAVC-413]"
插曲,插曲,chāqǔ,"N: accompanying songs in a play or film, other than the theme song [PAVC-413]"
插頭,插头,chātóu,N: an electrical plug [PAVC-413]
插座,插座,chāzuò,"N: an electrical outlet, socket [PAVC-413]"
於是,于是,yúshì,"CONJ: thereupon, hence, consequently, as a result [PAVC-413]"
摸,摸,mō,"V: to feel, to stroke, to touch; to feel for, to grope for, to fumble for [PAVC-413]"
傻,傻,shǎ,"SV: to be silly, to be foolish, to be stupid (also written 儍) [PAVC-413]"
傻瓜,傻瓜,shǎguā,"N: a fool, a blockhead, a simpleton, a stupid fellow (first character also written 儍) [PAVC-413]"
遲早,迟早,chízǎo,A: sooner or later [PAVC-413]
早晚,早晚,zǎowǎn,A: sooner or later [PAVC-413]
遲到,迟到,chídào,"V: to be late, to arrive late [PAVC-413]"
羊,羊,yáng,N: sheep (M: 隻) [PAVC-413]
窄,窄,zhǎi,SV: to be narrow [PAVC-413]
肯,肯,kěn,AV: to be willing to [PAVC-413]
摔,摔,shuāi,"V: to fall, to stumble, to break, to cast, to throw fling, to slam [PAVC-413]"
摔倒,摔倒,shuāidǎo,RC: to fall down (for a person) [PAVC-413]
內容,内容,nèiróng,"N: content, meaning, theme [PAVC-413]"
程度,程度,chéngdù,"N: degree, level [PAVC-413]"
亂七八糟,乱七八糟,luànqībāzāo,"IE: in a mess, in terrible disorder [PAVC-413]"
斧頭,斧头,fǔtóu,"N: axe, hatchet (M: 把) [PAVC-413]"
利,利,lì,SV: to be sharp [PAVC-413]
砍倒,砍倒,kǎndǎo,RC: to cut down trees [PAVC-413]
砍,砍,kǎn,"V: to chop, to hack, to cut [PAVC-413]"
櫻桃,樱桃,yīngtáo,N: cherry [PAVC-413]
桃子,桃子,táozi,N: peach [PAVC-413]
屁股,屁股,pìgǔ,"N: buttocks, butt [PAVC-413]"
放屁,放屁,fàngpì,"VO, IE: to break wind, to flatulate, to fart; to speak nonsense; ""Nonsense!"" [PAVC-413]"
拍馬屁,拍马屁,pāimǎpì,"VO: to flatter, to fawn over [PAVC-413]"
勇敢,勇敢,yǒnggǎn,"SV: to be brave, to be courageous [PAVC-413]"
站出來,站出来,zhànchūlái,"V: to stand out of the crowd, to stand up for [PAVC-413]"
向,向,xiàng,"CV: towards, to face, to turn towards, all along, hitherto [PAVC-413]"
承認,承认,chéngrèn,"N, V: recognition; to admit, to acknowledge, to give diplomatic recognition, to recognize [PAVC-413]"
認錯,认错,rèncuò,VO: to admit one's mistake [PAVC-413]
誠實,诚实,chéngshí,"N, SV: honesty, trustworthiness; to be honest, to be upright, to be trustworthy [PAVC-413]"
老實,老实,lǎoshí,"SV: honest, frank, well-behaved, simple-minded, easily taken in [PAVC-413]"
老掉牙,老掉牙,lǎodiàoyá,"AT: very old, hackneyed (literally ""so old it's losing its teeth"") [PAVC-413]"
熟,熟,shóu,"SV, RE: to be familiar, to be cooked, to be ripe, to be practiced [PAVC-413]"
二十四孝,二十四孝,Èrshísì Xiào,"N: Twenty-Four Filial Exemplars, a classic text from the times of the Yuan dynasty [PAVC-413]"
華盛頓,华盛顿,Huáshèngdùn,N: transliteration of Washington [PAVC-413]
段,段,duàn,"M: measure word for sections, parts, segments and paragraphs [PAVC-414]"
相聲,相声,xiàngshēng,N: a traditional Chinese comical dialogue [PAVC-414]
講台,讲台,jiǎngtái,N: lecture platform [PAVC-414]
西裝,西装,xīzhuāng,N: western suit (M: 套) [PAVC-414]
套裝,套装,tàozhuāng,N: ladies suit (M: 套) [PAVC-414]
洋裝,洋装,yángzhuāng,N: a woman's dress (M: 件) [PAVC-414]
領帶,领带,lǐngdài,N: neck tie (M: 條) [PAVC-414]
領結,领结,lǐngjié,N: bow tie [PAVC-414]
彎腰,弯腰,wānyāo,"VO: to bend the body at the waist, to stoop over [PAVC-414]"
彎,弯,wān,"SV, V: to be curved, to be crooked; to bend, to flex [PAVC-414]"
腰,腰,yāo,N: waist [PAVC-414]
鞠躬,鞠躬,júgōng,VO: to bow [PAVC-414]
女士,女士,nǚshì,"N: polite form of address for women, lady, madam [PAVC-414]"
人士,人士,rénshì,"N: a personage, a public figure [PAVC-414]"
親愛的,亲爱的,qīn'àide,"IE, AT: dear, beloved [PAVC-414]"
擁抱,拥抱,yǒngbào,"V: to embrace, to hug [PAVC-414]"
動手動腳,动手动脚,dòngshǒudòngjiǎo,"IE: to be unrestrained or unreserved with women, to take liberties with women [PAVC-414]"
吃豆腐,吃豆腐,chīdòufǔ,VO: to tease or take advantage of a woman by words or physical contact (colloquially) [PAVC-414]
豆腐,豆腐,dòufǔ,"N: bean curd, tofu (M: 塊) [PAVC-414]"
公共場所,公共场所,gōnggòngchǎngsuǒ,N: a public place [PAVC-414]
摟,搂,lǒu,V: to place one's arm around someone [PAVC-414]
親嘴,亲嘴,qīnzuǐ,VO: to kiss on the lips [PAVC-414]
打耳光,打耳光,dǎ'ěrguāng,VO: to slap somebody in the face [PAVC-414]
髮型,发型,fǎxíng,N: hairstyle [PAVC-414]
臉型,脸型,liǎnxíng,N: shape of one's face [PAVC-414]
血型,血型,xiěxíng,"N: blood type, blood group [PAVC-414]"
滿意,满意,mǎnyì,"SV: to be satisfied, pleased [PAVC-414]"
滿足,满足,mǎnzú,"V, SV: to satisfy, to meet, to fulfill; to feel content, to feel satisfied, to be fulfilled [PAVC-414]"
整齊,整齐,zhěngqí,"SV: to be even, to be regular, to be in good order, to be tidy [PAVC-414]"
整理,整理,zhěnglǐ,"V: to arrange, to put in order, to sort out, to straighten up [PAVC-414]"
講究,讲究,jiǎngjiù,"SV V: to be particular about, to be fastidious about [PAVC-414]"
厚,厚,hòu,SV: to be thick [PAVC-414]
謙虛,谦虚,qiānxū,"N, SV: modesty; to be modest, to be self-effacing [PAVC-414]"
明明,明明,míngmíng,"A: clearly, obviously, undoubtedly [PAVC-414]"
在乎,在乎,zàihū,"V: to mind, to care about, to take heart [PAVC-414]"
一口氣,一口气,yìkǒuqì,"NU-M-N, A: a breath of air; in one breath, in one go [PAVC-414]"
好客,好客,hàokè,"SV: to enjoy entertaining guests, to be hospitable [PAVC-414]"
好吃,好吃,hàochī,SV: to be fond of eating [PAVC-414]
好學,好学,hàoxué,"SV: to be fond of studying, to be diligent in the pursuit of knowledge [PAVC-414]"
好玩,好玩,hàowán,SV: to be fond of playing (also ～兒) [PAVC-414]
好賭,好赌,hàodǔ,SV: to be fond of gambling [PAVC-414]
拉肚子,拉肚子,lādùzi,"VO: to suffer from diarrhoea, to have loose bowels [PAVC-414]"
浪費,浪费,làngfèi,"SV, V: to be wasteful; to waste, to squander [PAVC-414]"
費,费,fèi,"V: to spend, consume [PAVC-414]"
費油,费油,fèiyóu,SV VO: to be gasoline-consuming [PAVC-414]
費電,费电,fèidiàn,SV VO: to be electricity-consuming [PAVC-414]
費水,费水,fèishuǐ,SV VO: to be water-consuming [PAVC-414]
費力,费力,fèilì,SV VO: to be energy-consuming [PAVC-414]
硬,硬,yìng,SV: to be hard [PAVC-414]
乾杯,干杯,gānbēi,"VO, IE: to offer a toast with all the wine in one's glass (literally, to drink the glass dry); ""Bottoms up!"" [PAVC-414]"
根本,根本,gēnběn,"A: simply, at all (often used in the negative) [PAVC-414]"
不見得,不见得,bújiàndé,"IE, A: not necessarily so [PAVC-414]"
簡直,简直,jiǎnzhí,"A: simply, at all [PAVC-414]"
可笑,可笑,kěxiào,"SV: to be funny, to be laughable, to be ridiculous, to be ludicrous [PAVC-414]"
搖頭,摇头,yáotóu,VO: to shake one's head in disapproval [PAVC-414]
點頭,点头,diǎntóu,VO: to nod one's head as a sign of approval or as a greeting [PAVC-414]
上當,上当,shàngdàng,"VO: to be taken in, to be fooled, to fall for a practical joke or trick [PAVC-414]"
故意,故意,gùyì,"A: on purpose, intentionally [PAVC-414]"
打噴嚏,打喷嚏,dǎpēntì,VO: to sneeze [PAVC-414]
終於,终于,zhōngyú,"A: at last, in the end, finally [PAVC-414]"
取笑,取笑,qǔxiào,"V: to make fun of, to ridicule [PAVC-414]"
一時,一时,yìshí,"A: temporarily, for a short while, for a period of time [PAVC-414]"
大人不記,大人不记,dàrénbújì,IE: a person of great moral stature does not remember the offences committed by one of low moral stature (～小人過) [PAVC-414]
看在,看在,kànzài,V: to consider (～ … 的份上) [PAVC-414]
份上,份上,fènshàng,N: standpoint (看在 … 的～) [PAVC-414]
懶得,懒得,lǎndé,"A: to not have energy to, to be against putting forth effort to [PAVC-414]"
懶,懒,lǎn,"SV: to be lazy, to be indolent [PAVC-414]"
偷懶,偷懒,tōulǎn,"VO: to loaf, to be lazy [PAVC-414]"
打哈欠,打哈欠,dǎhāqiàn,VO: to yawn [PAVC-414]
巧克力,巧克力,qiǎokèlì,N: chocolate [PAVC-414]
白蘭地,白兰地,báilándì,N: brandy [PAVC-414]
歐陽,欧阳,Ōuyáng,N: Chinese two-character surname (Ouyang) [PAVC-414]
上官,上官,Shàngguān,N: Chinese two-character surname (Shangguan) [PAVC-414]
司馬,司马,Sīmǎ,N: Chinese two-character surname (Sima) [PAVC-414]
司徒,司徒,Sītú,N: Chinese two-character surname (Situ) [PAVC-414]
諸葛,诸葛,Zhūgě,N: Chinese two-character surname (Zhuge) [PAVC-414]
拱手,拱手,gǒngshǒu,VO: to greet by joining hands together and lifting forearms slightly
警告標誌,警告标志,jǐnggàobiāozhì,N: warning traffic sign [PAVC-410]
禁止標誌,禁止标志,jìnzhǐbiāozhì,N: prohibitory traffic sign [PAVC-410]
遵行標誌,遵行标志,zūnxíngbiāozhì,N: mandatory traffic sign [PAVC-410]
指示標誌,指示标志,zhǐshìbiāozhì,N: informatory traffic sign [PAVC-410]
理由,理由,lǐyóu,N: reason [PAVC-410]
加護病房,加护病房,jiāhùbìngfáng,N: intensive-care unit [PAVC-410]
病危,病危,bìngwéi,V: to be critically ill [PAVC-410]
生死攸關,生死攸关,shēngsǐyōuguān,N: a matter of life and death [PAVC-410]
警察局長,警察局长,jǐngchájúzhǎng,N: head of the police bureau [PAVC-410]
交通部長,交通部长,jiāotōngbùzhǎng,N: minister of communications [PAVC-410]
馬車,马车,mǎchē,"N: horse-drawn wagon, car or chariot [PAVC-410]"
方言,方言,fāngyán,"N: local dialect, topolect (of Chinese languages other than Mandarin) [PAVC-410]"
損失,损失,sǔnshī,"N, V: loss; to lose [PAVC-410]"
西廂記,西厢记,Xīxiāngjì,"N: ""Romance of the West Chamber,"" one of the most famous Chinese dramatic works, written by 王實甫 [PAVC-401]"
實現,实现,shíxiàn,"V: to realize, to achieve, to bring about [PAVC-401]"
反問,反问,fǎnwèn,V: to ask a question in reply [PAVC-401]
繞口令,绕口令,ràokǒulìng,N: tongue twister [PAVC-401]
和尚,和尚,héshàng,N: Buddhist monk [PAVC-401]
灑,洒,sǎ,"V: to sprinkle, to splash [PAVC-401]"
粗,粗,cū,"SV: to be thick, to be rough, to be coarse [PAVC-401]"
蟲,虫,chóng,"N: worm, insect [PAVC-401]"
圍,围,wéi,"V: to encircle, to surround [PAVC-401]"
磚堆,砖堆,zhuānduī,AT-N: pile of bricks [PAVC-401]
轉,转,zhuàn,V: to rotate [PAVC-401]
藤,藤,téng,"N: vine, rattan, cane [PAVC-401]"
銅鈴,铜铃,tónglíng,"N: bell of copper, brass or bronze [PAVC-401]"
燉,炖,dùn,V: to stew [PAVC-401]
凍豆腐,冻豆腐,dòngdòufǔ,"N: frozen bean curd, frozen tofu [PAVC-401]"
混充,混充,hùnchōng,"V: to fake, to pretend [PAVC-401]"
主辦,主办,zhǔbàn,"N, V: (～人) sponsor, host; to direct, to sponsor, to host [PAVC-401]"
演出,演出,yǎnchū,"N:, V: performance, show; to perform; (～人) performer [PAVC-401]"
青春舞曲,青春舞曲,Qīngchūn Wǔqǔ,"N: name of a folk song, ""Dance of the Youth"" (Qingchun Wuqu) [PAVC-401]"
獨唱,独唱,dúchàng,"N, V: vocal solo; to sing a solo [PAVC-401]"
鋼琴,钢琴,gāngqín,N: piano [PAVC-401]
獨奏,独奏,dúzòu,"N, V: instrumental solo; to play an instrumental solo [PAVC-401]"
月光曲,月光曲,Yuèguāngqǔ,N: Moonlight Sonata by Beethoven [PAVC-401]
