Traditional,Simplified,PinyinNumbered,Pinyin,Freq
鈑,钣,ban3,bǎn,2
艻,艻,le4,lè,2
擧,举,ju3,jǔ,2
親,亲,qin5,qin,2
剴,剀,kai3,kǎi,2
掄,抡,lun2,lún,2
掄,抡,lun1,lūn,2
唔,唔,wu2,wú,2
剷,铲,chan3,chǎn,2
傕,傕,jue2,jué,2
比,比,bi1,bī,2
逮,逮,dai3,dǎi,2
捻,捻,nian3,niǎn,2
鈬,鈬,duo2,duó,2
捱,捱,ai2,ái,2
捯,捯,dao2,dáo,2
裎,裎,cheng2,chéng,2
獪,狯,kuai4,kuài,2
唣,唣,zao4,zào,2
鉧,𬭁,mu3,mǔ,2
狩,狩,shou4,shòu,2
艟,艟,chong1,chōng,2
芊,芊,qian1,qiān,2
鈄,钭,tou3,tǒu,2
狳,狳,yu2,yú,2
犎,犎,feng1,fēng,2
哰,哰,lao2,láo,2
殽,肴,yao2,yáo,2
磨,磨,mo5,mo,2
犍,犍,qian2,qián,2
揆,揆,kui2,kuí,2
釕,钌,liao3,liǎo,2
釕,钌,liao4,liào,2
酞,酞,tai4,tài,2
銱,铞,diao4,diào,2
彈,弹,tan5,tan,2
鈀,钯,ba3,bǎ,2
沈,沈,chen2,chén,2
犰,犰,qiu2,qiú,2
犏,犏,pian1,piān,2
鼢,鼢,fen2,fén,2
掮,掮,qian2,qián,2
釧,钏,chuan4,chuàn,2
芏,芏,du4,dù,2
犪,犪,kui2,kuí,2
藭,䓖,qiong2,qióng,2
唄,呗,bai4,bài,2
唄,呗,bei5,bei,2
芍,芍,que4,què,2
萰,萰,lian4,liàn,2
苲,苲,zha3,zhǎ,2
酊,酊,ding1,dīng,2
綵,䌽,cai3,cǎi,2
攉,攉,huo1,huō,2
莪,莪,e2,é,2
菪,菪,dang4,dàng,2
邨,邨,cun1,cūn,2
莨,莨,lang4,làng,2
設,设,she5,she,2
僨,偾,fen4,fèn,2
擷,撷,xie2,xié,2
僥,侥,yao2,yáo,2
沮,沮,ju3,jǔ,2
邴,邴,bing3,bǐng,2
擰,拧,ning2,níng,2
嗟,嗟,jie1,jiē,2
邾,邾,zhu1,zhū,2
稔,稔,ren3,rěn,2
剞,剞,ji1,jī,2
莘,莘,xin1,xīn,2
郇,郇,xun2,xún,2
擤,擤,xing3,xǐng,2
熬,熬,ao1,āo,2
蟜,蟜,jiao3,jiǎo,2
擱,搁,ge5,ge,2
郝,郝,hao3,hǎo,2
郞,郞,lang2,láng,2
郟,郏,jia2,jiá,2
薺,荠,qi2,qí,2
那,那,nuo2,nuó,2
咣,咣,guang1,guāng,2
摀,捂,wu3,wǔ,2
邠,邠,bin1,bīn,2
魨,鲀,tun2,tún,2
珅,珅,shen1,shēn,2
闐,阗,tian2,tián,2
遄,遄,chuan2,chuán,2
咑,咑,da1,dā,2
灢,灢,nang3,nǎng,2
勦,剿,jiao3,jiǎo,2
菥,菥,xi1,xī,2
遝,遝,ta4,tà,2
菘,菘,song1,sōng,2
咔,咔,ka1,kā,2
訐,讦,jie2,jié,2
咾,咾,lao3,lǎo,2
遹,遹,yu4,yù,2
噥,哝,nong5,nong,2
邂,邂,xie4,xiè,2
蟑,蟑,zhang1,zhāng,2
僮,僮,zhuang4,zhuàng,2
遢,遢,ta5,ta,2
攢,攒,zan3,zǎn,2
萁,萁,qi2,qí,2
攜,携,xi1,xī,2
同,同,tong4,tòng,2
攛,撺,cuan1,cuān,2
邘,邘,yu2,yú,2
郢,郢,ying3,yǐng,2
缶,缶,fou3,fǒu,2
劂,劂,jue2,jué,2
荸,荸,bi2,bí,2
爌,爌,kong4,kòng,2
茓,茓,xue2,xué,2
哈,哈,ha4,hà,2
士,士,shi5,shi,2
蟭,蟭,jiao1,jiāo,2
莉,莉,li5,li,2
迕,迕,wu3,wǔ,2
縵,缦,man4,màn,2
蟮,蟮,shan4,shàn,2
唷,唷,yo1,yō,2
酃,酃,ling2,líng,2
酆,酆,feng1,fēng,2
喲,哟,yo1,yō,2
摟,搂,lou1,lōu,2
摞,摞,luo4,luò,2
摜,掼,guan4,guàn,2
殳,殳,shu1,shū,2
茁,茁,zhuo2,zhuó,2
茀,茀,fu2,fú,2
爰,爰,yuan2,yuán,2
痾,疴,ke1,kē,2
麴,曲,qu1,qū,2
苻,苻,fu2,fú,2
酕,酕,mao2,máo,2
醄,醄,tao2,táo,2
鄦,鄦,xu3,xǔ,2
燾,焘,dao4,dào,2
茯,茯,fu2,fú,2
撮,撮,cuo4,cuò,2
郫,郫,pi2,pí,2
騰,腾,teng1,tēng,2
殗,殗,ye4,yè,2
熳,熳,man4,màn,2
擀,擀,gan3,gǎn,2
咷,咷,tao2,táo,2
燁,烨,ye4,yè,2
麼,麽,mo2,mó,2
稜,棱,leng5,leng,2
扇,扇,shan5,shan,2
合,合,he5,he,2
鄋,鄋,sou1,sōu,2
褊,褊,bian3,biǎn,2
開,开,kai5,kai,2
茼,茼,tong2,tóng,2
浪,浪,lang5,lang,2
撣,掸,shan4,shàn,2
撣,掸,dan3,dǎn,2
利,利,li5,li,2
燜,焖,men4,mèn,2
蟟,蟟,liao2,liáo,2
蟢,蟢,xi3,xǐ,2
茳,茳,jiang1,jiāng,2
蟣,虮,ji3,jǐ,2
唫,唫,yin2,yín,2
鉛,铅,yan2,yán,2
猁,猁,li4,lì,2
鎳,镍,nie4,niè,2
汙,汙,wu1,wū,2
鑰,钥,yue4,yuè,2
氘,氘,dao1,dāo,2
戧,戗,qiang1,qiāng,2
腧,腧,shu4,shù,2
劄,札,zha2,zhá,2
戢,戢,ji2,jí,2
鎩,铩,sha1,shā,2
嗦,嗦,suo1,suō,2
劼,劼,jie2,jié,2
嗩,唢,suo3,suǒ,2
腖,胨,dong4,dòng,2
攘,攘,rang5,rang,2
傍,傍,bang1,bāng,2
蓬,蓬,peng1,pēng,2
嗯,嗯,en5,en,2
臢,臜,za1,zā,2
鏊,鏊,ao4,ào,2
洋,洋,yang1,yāng,2
毖,毖,bi4,bì,2
鏌,镆,mo4,mò,2
懮,懮,you1,yōu,2
嗶,哔,bi1,bī,2
鏖,鏖,ao2,áo,2
琢,琢,zuo2,zuó,2
鏘,锵,qiang1,qiāng,2
腴,腴,yu2,yú,2
鎏,鎏,liu2,liú,2
珥,珥,er3,ěr,2
珣,珣,xun2,xún,2
艮,艮,gen3,gěn,2
嗉,嗉,su4,sù,2
嗊,唝,gong4,gòng,2
珧,珧,yao2,yáo,2
扮,扮,ban5,ban,2
膈,膈,ge4,gè,2
劄,劄,zha1,zhā,2
偌,偌,ruo4,ruò,2
哈,哈,ha5,ha,2
袟,袟,zhi4,zhì,2
摟,搂,lou5,lou,2
嗌,嗌,yi4,yì,2
膂,膂,lu:3,lǚ,2
蠛,蠛,mie4,miè,2
裟,裟,sha1,shā,2
絹,绢,juan4,juàn,2
嗎,吗,ma2,má,2
扆,扆,yi3,yǐ,2
馗,馗,kui2,kuí,2
扂,扂,dian4,diàn,2
袈,袈,jia1,jiā,2
擔,担,dan5,dan,2
嗑,嗑,ke1,kē,2
嗒,嗒,ta4,tà,2
假,假,gei1,gēi,2
腆,腆,tian3,tiǎn,2
昫,昫,xu4,xù,2
懋,懋,mao4,mào,2
鑢,鑢,lu:4,lǜ,2
羅,罗,luo5,luo,2
衕,同,tong4,tòng,2
鑭,镧,lan2,lán,2
柝,柝,tuo4,tuò,2
愿,愿,yuan4,yuàn,2
簣,篑,kui4,kuì,2
劊,刽,gui4,guì,2
析,析,xi5,xi,2
亍,亍,chu4,chù,2
鑷,镊,nie4,niè,2
愜,惬,qie4,qiè,2
璦,瑷,ai4,ài,2
璩,璩,qu2,qú,2
袱,袱,fu2,fú,2
亓,亓,qi2,qí,2
嘚,嘚,de1,dē,2
氓,氓,meng2,méng,2
閌,闶,kang1,kāng,2
璺,璺,wen4,wèn,2
髮,发,fa3,fǎ,2
瑟,瑟,se5,se,2
嘜,唛,mai4,mài,2
血,血,xue3,xuě,2
閡,阂,he2,hé,2
瓔,璎,ying1,yīng,2
胤,胤,yin4,yìn,2
胬,胬,nu3,nǔ,2
脲,脲,niao4,niào,2
蠼,蠼,qu2,qú,2
衩,衩,cha4,chà,2
氤,氤,yin1,yīn,2
鏨,錾,zan4,zàn,2
憹,𢙐,nao2,náo,2
氳,氲,yun1,yūn,2
鏹,镪,qiang1,qiāng,2
脣,唇,chun2,chún,2
憧,憧,chong1,chōng,2
瑄,瑄,xuan1,xuān,2
憔,憔,qiao2,qiáo,2
蠮,蠮,ye1,yē,2
鐔,镡,tan2,tán,2
嘀,嘀,di1,dī,2
蠵,蠵,xi1,xī,2
衚,胡,hu2,hú,2
鶚,鹗,e4,è,2
嘀,嘀,di2,dí,2
嘁,嘁,qi1,qī,2
頸,颈,geng3,gěng,2
慵,慵,yong1,yōng,2
胴,胴,dong4,dòng,2
慫,怂,song3,sǒng,2
慪,怄,ou4,òu,2
囉,啰,luo5,luo,2
瑾,瑾,jin3,jǐn,2
鍥,锲,qie4,qiè,2
珈,珈,jia1,jiā,2
㞎,㞎,ba5,ba,2
袼,袼,ge1,gē,2
猸,猸,mei2,méi,2
銚,铫,yao2,yáo,2
喲,哟,yo5,yo,2
掇,掇,duo5,duo,2
舨,舨,ban3,bǎn,2
毪,毪,mu2,mú,2
拶,拶,za1,zā,2
啖,啖,dan4,dàn,2
据,据,ju1,jū,2
拜,拜,bai1,bāi,2
拜,拜,bai2,bái,2
旛,旛,fan1,fān,2
坦,坦,tan5,tan,2
汫,汫,jing3,jǐng,2
拙,拙,zhuo2,zhuó,2
苔,苔,tai1,tāi,2
拗,拗,ao3,ǎo,2
拽,拽,ye4,yè,2
銼,锉,cuo4,cuò,2
乶,乶,fu3,fǔ,2
呱,呱,gua5,gua,2
袷,袷,jia2,jiá,2
獫,猃,xian3,xiǎn,2
哩,哩,li2,lí,2
獬,獬,xie4,xiè,2
舲,舲,ling2,líng,2
䰾,鲃,ba1,bā,2
啵,啵,bo5,bo,2
榷,榷,que4,què,2
揎,揎,xuan1,xuān,2
喏,喏,nuo4,nuò,2
喏,喏,re3,rě,2
唳,唳,li4,lì,2
湼,涅,nie4,niè,2
唵,唵,an3,ǎn,2
捂,捂,wu3,wǔ,2
煊,煊,xuan1,xuān,2
獗,獗,jue2,jué,2
猙,狰,zheng1,zhēng,2
艋,艋,meng3,měng,2
猞,猞,she1,shē,2
隄,堤,di1,dī,2
艅,艅,yu2,yú,2
舾,舾,xi1,xī,2
獕,獕,cui1,cuī,2
廁,厕,si5,si,2
舺,舺,jia3,jiǎ,2
喇,喇,la4,là,2
蠓,蠓,meng3,měng,2
啁,啁,zhao1,zhāo,2
猳,猳,jia1,jiā,2
蹻,跷,qiao1,qiāo,2
茛,茛,gen4,gèn,2
猵,猵,pian4,piàn,2
打,打,da5,da,2
獮,狝,xian3,xiǎn,2
膏,膏,gao4,gào,2
抏,抏,wan2,wán,2
喙,喙,hui4,huì,2
鏰,镚,beng4,bèng,2
玎,玎,ding1,dīng,2
氂,牦,mao2,máo,2
臌,臌,gu3,gǔ,2
窾,窾,kuan3,kuǎn,2
蘺,蓠,li2,lí,2
喟,喟,kui4,kuì,2
玓,玓,di4,dì,2
瓅,𬍛,li4,lì,2
罾,罾,zeng1,zēng,2
錒,锕,a1,ā,2
喨,喨,liang4,liàng,2
錙,锱,zi1,zī,2
玗,玗,yu2,yú,2
臃,臃,yong1,yōng,2
玢,玢,fen1,fēn,2
單,单,shan4,shàn,2
膫,膫,liao2,liáo,2
瑰,瑰,gui5,gui,2
鍃,锪,huo1,huō,2
鉻,铬,ge4,gè,2
膙,膙,jiang3,jiǎng,2
趄,趄,qie5,qie,2
喼,喼,jie2,jié,2
汧,汧,qian1,qiān,2
禛,禛,zhen1,zhēn,2
囀,啭,zhuan4,zhuàn,2
鬮,阄,jiu1,jiū,2
碴,碴,cha1,chā,2
鋌,铤,ting3,tǐng,2
拉,拉,la4,là,2
獯,獯,xun1,xūn,2
鋏,铗,jia2,jiá,2
鬻,鬻,yu4,yù,2
喁,喁,yu2,yú,2
拂,拂,bi4,bì,2
鋩,铓,mang2,máng,2
喂,喂,wei4,wèi,2
搐,搐,chu4,chù,2
喆,喆,zhe2,zhé,2
袴,裤,ku4,kù,2
抻,抻,chen1,chēn,2
毽,毽,jian4,jiàn,2
舌,舌,ji1,jī,2
獷,犷,guang3,guǎng,2
詡,诩,xu3,xǔ,2
劐,劐,huo1,huō,2
鋣,铘,ye2,yé,2
鋦,锔,ju1,jū,2
抨,抨,peng1,pēng,2
蓐,蓐,ru4,rù,2
玦,玦,jue2,jué,2
糝,糁,san3,sǎn,2
敫,敫,jiao3,jiǎo,2
菾,菾,tian2,tián,2
逶,逶,wei1,wēi,2
檮,梼,tao2,táo,2
貅,貅,xiu1,xiū,2
洣,洣,mi3,mǐ,2
達,达,da5,da,2
漭,漭,mang3,mǎng,2
輊,轾,zhi4,zhì,2
桷,桷,jue2,jué,2
桴,桴,fu2,fú,2
貔,貔,pi2,pí,2
酲,酲,cheng2,chéng,2
欏,椤,luo2,luó,2
溲,溲,sou1,sōu,2
桕,桕,jiu4,jiù,2
槔,槔,gao1,gāo,2
溷,溷,hun4,hùn,2
葚,葚,shen4,shèn,2
梏,梏,gu4,gù,2
蕩,荡,dang5,dang,2
桎,桎,zhi4,zhì,2
賁,贲,bi4,bì,2
櫆,櫆,kui2,kuí,2
稱,称,cheng4,chèng,2
藠,藠,jiao4,jiào,2
桄,桄,guang1,guāng,2
厗,厗,ti2,tí,2
滎,荥,ying2,yíng,2
洧,洧,wei3,wěi,2
梜,𬂩,jia1,jiā,2
藒,藒,qie4,qiè,2
蘘,蘘,rang2,ráng,2
槨,椁,guo3,guǒ,2
䎃,䎃,ran3,rǎn,2
洭,洭,kuang1,kuāng,2
棶,梾,lai2,lái,2
棲,栖,xi1,xī,2
卞,卞,bian4,biàn,2
棰,棰,chui2,chuí,2
觳,觳,hu2,hú,2
豁,豁,hua2,huá,2
棕,棕,zong4,zòng,2
豇,豇,jiang1,jiāng,2
洞,洞,tong2,tóng,2
丌,丌,ji1,jī,2
花,花,hua5,hua,2
虉,𬟁,yi4,yì,2
湣,湣,min3,mǐn,2
豞,豞,hou4,hòu,2
蘼,蘼,mi2,mí,2
觫,觫,su4,sù,2
湮,湮,yin1,yīn,2
卬,卬,ang2,áng,2
蝐,蝐,mao4,mào,2
湳,湳,nan3,nǎn,2
豱,豱,wen1,wēn,2
梣,梣,chen2,chén,2
賡,赓,geng1,gēng,2
賧,赕,dan3,dǎn,2
渲,渲,xuan4,xuàn,2
維,维,wei5,wei,2
柊,柊,zhong1,zhōng,2
漶,漶,huan4,huàn,2
稂,稂,lang2,láng,2
漯,漯,luo4,luò,2
蝦,虾,ha2,há,2
覬,觊,ji4,jì,2
跂,跂,zhi1,zhī,2
枸,枸,ju3,jǔ,2
厾,厾,du1,dū,2
枸,枸,gou1,gōu,2
跆,跆,tai2,tái,2
躓,踬,zhi4,zhì,2
薅,薅,hao1,hāo,2
蝰,蝰,kui2,kuí,2
槁,槁,gao3,gǎo,2
蕻,蕻,hong4,hòng,2
蕻,蕻,hong2,hóng,2
蕺,蕺,ji2,jí,2
叒,叒,ruo4,ruò,2
叕,叕,zhuo2,zhuó,2
跗,跗,fu1,fū,2
坫,坫,dian4,diàn,2
蕷,蓣,yu4,yù,2
檎,檎,qin2,qín,2
叔,叔,shu2,shú,2
訌,讧,hong4,hòng,2
蝤,蝤,qiu2,qiú,2
失,失,shi5,shi,2
櫝,椟,du2,dú,2
忮,忮,zhi4,zhì,2
冑,冑,zhou4,zhòu,2
栴,栴,zhan1,zhān,2
栳,栳,lao3,lǎo,2
鬭,斗,dou4,dòu,2
藊,藊,bian3,biǎn,2
藇,藇,xu4,xù,2
栝,栝,gua1,guā,2
醮,醮,jiao4,jiào,2
答,答,da5,da,2
觽,觽,xi1,xī,2
贔,赑,bi4,bì,2
贗,赝,yan4,yàn,2
滻,浐,chan3,chǎn,2
觜,觜,zui3,zuǐ,2
漊,溇,lou2,lóu,2
火,火,huo5,huo,2
柰,柰,nai4,nài,2
柩,柩,jiu4,jiù,2
兲,兲,tian1,tiān,2
趟,趟,tang1,tāng,2
柞,柞,zha4,zhà,2
柞,柞,zuo4,zuò,2
趦,趦,zi1,zī,2
暴,暴,pu4,pù,2
棼,棼,fen2,fén,2
椆,椆,chou2,chóu,2
覦,觎,yu2,yú,2
溦,溦,wei1,wēi,2
蛺,蛱,jia2,jiá,2
匭,匦,gui3,guǐ,2
槵,槵,huan4,huàn,2
蝏,蝏,ting2,tíng,2
説,说,shuo1,shuō,2
蜊,蜊,li2,lí,2
拉,拉,la3,lǎ,2
誰,谁,shui2,shuí,2
蝛,蝛,wei1,wēi,2
誾,訚,yin2,yín,2
害,害,hai5,hai,2
涖,莅,li4,lì,2
遂,遂,sui2,suí,2
蛜,蛜,yi1,yī,2
蜽,蜽,liang3,liǎng,2
槓,杠,gang2,gáng,2
槑,槑,dai1,dāi,2
出,出,chu5,chu,2
論,论,lun2,lún,2
鮒,鲋,fu4,fù,2
凹,凹,wa1,wā,2
榲,榅,wen1,wēn,2
諠,喧,xuan1,xuān,2
諡,谥,shi4,shì,2
万,万,mo4,mò,2
誚,诮,qiao4,qiào,2
浽,浽,sui1,suī,2
諶,谌,chen2,chén,2
樏,樏,lei3,lěi,2
蹶,蹶,jue2,jué,2
蝑,蝑,xu1,xū,2
蜙,蜙,song1,sōng,2
罍,罍,lei2,léi,2
丁,丁,zheng1,zhēng,2
匹,匹,pi1,pī,2
蜎,蜎,yuan1,yuān,2
蜍,蜍,chu2,chú,2
舂,舂,chong1,chōng,2
淼,淼,miao3,miǎo,2
刎,刎,wen3,wěn,2
詼,诙,hui1,huī,2
蝣,蝣,you2,yóu,2
蜇,蜇,zhe2,zhé,2
蜣,蜣,qiang1,qiāng,2
樛,樛,jiu1,jiū,2
誆,诓,kuang1,kuāng,2
訾,訾,zi3,zǐ,2
誑,诳,kuang2,kuáng,2
蒱,蒱,pu2,pú,2
樗,樗,chu1,chū,2
訾,訾,zi1,zī,2
蜮,蜮,yu4,yù,2
䗥,䗥,zong1,zōng,2
蜱,蜱,pi2,pí,2
茜,茜,xi1,xī,2
榠,榠,ming2,míng,2
虰,虰,ding1,dīng,2
凄,凄,qi1,qī,2
蚖,蚖,yuan2,yuán,2
檗,檗,bo4,bò,2
篪,篪,chi2,chí,2
冼,冼,xian3,xiǎn,2
鑫,鑫,xin1,xīn,2
蚓,蚓,yin3,yǐn,2
檜,桧,hui4,huì,2
筮,筮,shi4,shì,2
場,场,chang5,chang,2
譫,谵,zhan1,zhān,2
䓬,䓬,zhuo2,zhuó,2
譭,毁,hui3,huǐ,2
蚤,蚤,zao5,zao,2
虼,虼,ge4,gè,2
椥,椥,zhi1,zhī,2
檜,桧,kuai4,kuài,2
蚄,蚄,fang1,fāng,2
滓,滓,zi3,zǐ,2
戰,战,zhan5,zhan,2
澥,澥,xie4,xiè,2
蝄,蝄,wang3,wǎng,2
虸,虸,zi3,zǐ,2
蝌,蝌,ke1,kē,2
蛵,蛵,xing2,xíng,2
苕,苕,tiao2,tiáo,2
譖,谮,zen4,zèn,2
蚜,蚜,ya2,yá,2
俟,俟,qi2,qí,2
洵,洵,xun2,xún,2
榜,搒,beng4,bèng,2
狉,狉,pi1,pī,2
蚺,蚺,ran2,rán,2
無,无,mo2,mó,2
槺,槺,kang1,kāng,2
謎,谜,mei4,mèi,2
膲,膲,jiao1,jiāo,2
蜾,蜾,guo3,guǒ,2
蠃,蠃,luo3,luǒ,2
蜒,蜒,yan5,yan,2
蜿,蜿,wan1,wān,2
蝀,𬟽,dong1,dōng,2
蚯,蚯,qiu1,qiū,2
蚪,蚪,dou3,dǒu,2
蝃,蝃,zhuo1,zhuō,2
楮,楮,chu3,chǔ,2
蚧,蚧,jie4,jiè,2
淬,淬,cui4,cuì,2
淯,淯,yu4,yù,2
蚣,蚣,gong1,gōng,2
謾,谩,man4,màn,2
譁,哗,hua2,huá,2
蝥,蝥,mao2,máo,2
楞,楞,leng4,lèng,2
楝,楝,lian4,liàn,2
葄,葄,zuo4,zuò,2
刺,刺,ci1,cī,2
逯,逯,lu4,lù,2
軻,轲,ke3,kě,2
燚,燚,yi4,yì,2
輂,輂,ju2,jú,2
蒴,蒴,shuo4,shuò,2
鉾,鉾,mou2,móu,2
儲,储,chu2,chú,2
歙,歙,she4,shè,2
蒭,蒭,chu2,chú,2
螭,螭,chi1,chī,2
蒻,蒻,ruo4,ruò,2
遛,遛,liu5,liu,2
蒟,蒟,ju3,jǔ,2
輬,辌,liang2,liáng,2
到,到,dao5,dao,2
晬,晬,zui4,zuì,2
蒓,莼,chun2,chún,2
呫,呫,che4,chè,2
螮,䗖,di4,dì,2
轉,转,zhuai3,zhuǎi,2
葳,葳,wei1,wēi,2
仗,仗,zhang5,zhang,2
轂,毂,gu1,gū,2
泇,泇,jia1,jiā,2
呲,呲,ci1,cī,2
呲,呲,zi1,zī,2
昉,昉,fang3,fǎng,2
焱,焱,yan4,yàn,2
藜,藜,li5,li,2
昀,昀,yun2,yún,2
術,术,zhu2,zhú,2
躋,跻,ji1,jī,2
呀,呀,ya5,ya,2
馮,冯,ping2,píng,2
殄,殄,tian3,tiǎn,2
襝,裣,lian3,liǎn,2
躑,踯,zhi2,zhí,2
墻,墙,qiang2,qiáng,2
蓴,莼,chun2,chún,2
暡,暡,weng3,wěng,2
囔,囔,nang5,nang,2
臲,臲,nie4,niè,2
瀦,潴,zhu1,zhū,2
瀧,泷,shuang1,shuāng,2
跣,跣,xian3,xiǎn,2
螬,螬,cao2,cáo,2
軃,軃,duo3,duǒ,2
輥,辊,gun3,gǔn,2
顗,𫖮,yi3,yǐ,2
灃,沣,feng1,fēng,2
蓓,蓓,bei4,bèi,2
襫,襫,shi4,shì,2
襏,袯,bo2,bó,2
蓊,蓊,weng3,wěng,2
晟,晟,cheng2,chéng,2
蒽,蒽,en1,ēn,2
昇,升,sheng1,shēng,2
轗,轗,kan3,kǎn,2
躅,躅,zhu2,zhú,2
迮,迮,ze2,zé,2
褸,褛,lu:3,lǚ,2
咀,咀,zui3,zuǐ,2
嚼,嚼,jue2,jué,2
惑,惑,huo5,huo,2
焌,焌,jun4,jùn,2
焌,焌,qu1,qū,2
逅,逅,hou4,hòu,2
斝,斝,jia3,jiǎ,2
愣,愣,leng5,leng,2
斛,斛,hu2,hú,2
蟈,蝈,guo5,guo,2
魢,鱾,ji3,jǐ,2
駮,驳,bo2,bó,2
蟊,蟊,mao2,máo,2
斕,斓,lan2,lán,2
詒,诒,yi2,yí,2
焢,焢,kong4,kòng,2
咋,咋,ze2,zé,2
縐,绉,zhou1,zhōu,2
咋,咋,zha4,zhà,2
麽,麽,me5,me,2
褫,褫,chi3,chǐ,2
和,和,hu2,hú,2
醢,醢,hai3,hǎi,2
菹,菹,zu1,zū,2
陞,升,sheng1,shēng,2
迫,迫,pai3,pǎi,2
轘,轘,huan4,huàn,2
萜,萜,tie1,tiē,2
泆,泆,yi4,yì,2
醂,醂,lin2,lín,2
炻,炻,shi2,shí,2
葒,荭,hong2,hóng,2
魃,魃,ba2,bá,2
葎,葎,lu:4,lǜ,2
艮,艮,gen4,gèn,2
襁,襁,qiang3,qiǎng,2
葇,葇,rou2,róu,2
旖,旖,yi3,yǐ,2
萹,萹,bian3,biǎn,2
鐵,铁,tie5,tie,2
旎,旎,ni3,nǐ,2
萹,萹,bian1,biān,2
勰,勰,xie2,xié,2
呷,呷,ga1,gā,2
旃,旃,zhan1,zhān,2
泃,泃,ju1,jū,2
麿,麿,mo3,mǒ,2
儇,儇,xuan1,xuān,2
迤,迤,yi2,yí,2
迤,迤,yi3,yǐ,2
邐,逦,li3,lǐ,2
釳,𨰿,xi4,xì,2
丈,丈,zhang5,zhang,2
妣,妣,bi3,bǐ,2
蓼,蓼,liao3,liǎo,2
栱,栱,gong3,gǒng,2
叶,叶,xie2,xié,2
漸,渐,jian1,jiān,2
㹢,㹢,jia1,jiā,2
蕕,莸,you2,yóu,2
洇,洇,yin1,yīn,2
碎,碎,sui5,sui,2
逵,逵,kui2,kuí,2
适,适,kuo4,kuò,2
贄,贽,zhi4,zhì,2
螃,螃,pang2,páng,2
澄,澄,deng4,dèng,2
踘,踘,ju1,jū,2
覎,觃,yan4,yàn,2
玟,玟,wen2,wén,2
螄,蛳,si1,sī,2
螋,螋,sou1,sōu,2
膀,膀,bang4,bàng,2
漼,漼,cui3,cuǐ,2
蕑,蕑,jian1,jiān,2
媛,媛,yuan4,yuàn,2
字,字,zi5,zi,2
羿,羿,yi4,yì,2
蕎,荞,qiao2,qiáo,2
蕉,蕉,qiao2,qiáo,2
踣,踣,bo2,bó,2
沫,沫,mo5,mo,2
蝸,蜗,gua1,guā,2
蹡,蹡,qiang4,qiàng,2
澠,渑,mian3,miǎn,2
覘,觇,chan1,chān,2
跩,跩,zhuai3,zhuǎi,2
水,水,shui5,shui,2
潰,溃,hui4,huì,2
蕢,蒉,kui4,kuì,2
蝳,蝳,dai4,dài,2
潵,潵,sa3,sǎ,2
杼,杼,zhu4,zhù,2
跺,跺,duo4,duò,2
跼,局,ju2,jú,2
蕠,蕠,ru2,rú,2
杷,杷,pa2,pá,2
潸,潸,shan1,shān,2
兕,兕,si4,sì,2
蹟,迹,ji4,jì,2
句,句,gou1,gōu,2
讀,读,dou4,dòu,2
叨,叨,tao1,tāo,2
嘮,唠,lao5,lao,2
只,只,zhi1,zhī,2
貉,貉,he2,hé,2
嚀,咛,ning2,níng,2
可,可,ke4,kè,2
杧,杧,mang2,máng,2
㺢,㺢,huo4,huò,2
脩,脩,xiu1,xiū,2
歔,歔,xu1,xū,2
濘,泞,ning4,nìng,2
暾,暾,tun1,tūn,2
蔚,蔚,yu4,yù,2
吭,吭,hang2,háng,2
泝,泝,su4,sù,2
螞,蚂,ma1,mā,2
蟥,蟥,huang2,huáng,2
華,华,hua1,huā,2
濊,濊,hui4,huì,2
錕,锟,kun1,kūn,2
哚,哚,duo3,duǒ,2
晗,晗,han2,hán,2
貊,貊,mo4,mò,2
蟮,蟮,shan5,shan,2
蔓,蔓,man2,mán,2
蔌,蔌,su4,sù,2
欿,欿,kan3,kǎn,2
甴,甴,zha2,zhá,2
襤,褴,lan2,lán,2
曝,曝,bao4,bào,2
曨,昽,long2,lóng,2
法,法,fa4,fà,2
觴,觞,shang1,shāng,2
蹩,蹩,bie2,bié,2
訓,训,xun5,xun,2
泔,泔,gan1,gān,2
泓,泓,hong2,hóng,2
吽,吽,hong1,hōng,2
杪,杪,miao3,miǎo,2
胡,胡,hu5,hu,2
紱,绂,fu2,fú,2
括,括,gua1,guā,2
鈺,钰,yu4,yù,2
璋,璋,zhang1,zhāng,2
炆,炆,wen2,wén,2
吒,吒,zha1,zhā,2
犀,犀,xi5,xi,2
踮,踮,dian3,diǎn,2
遠,远,yuan4,yuàn,2
蔦,茑,niao3,niǎo,2
雯,雯,wen2,wén,2
踴,踊,yong3,yǒng,2
踶,踶,di4,dì,2
踹,踹,chuai4,chuài,2
踺,踺,jian4,jiàn,2
欸,欸,ei4,èi,2
哦,哦,e2,é,2
吥,吥,bu4,bù,2
否,否,pi3,pǐ,2
鍔,锷,e4,è,2
㵐,㵐,jue2,jué,2
朕,朕,zhen4,zhèn,2
蔟,蔟,cu4,cù,2
蹂,蹂,rou2,róu,2
躪,躏,lin4,lìn,2
泠,泠,ling2,líng,2
服,服,fu4,fù,2
筕,筕,hang2,háng,2
嚨,咙,long2,lóng,2
嵖,嵖,cha2,chá,2
皦,皦,jiao3,jiǎo,2
宓,宓,mi4,mì,2
麼,么,ma2,má,2
皮,皮,pi5,pi,2
飫,饫,yu4,yù,2
讞,谳,yan4,yàn,2
